doi,material_class,chemistry_family,electrode_role,cell_type,current_density_A_g,C_rate,cycle_number,upper_cutoff_V,lower_cutoff_V,temperature_C,loading_mg_cm2,first_cycle_CE_percent,specific_capacity_mAh_g
10.1016/j.cej.2022.138310,other-oxide,Li-S,other,full-cell,,0.2,50.0,,,,3.53,98.4,809.0
10.1038/s41598-024-77545-w,MoS2,Li-ion,anode,half-cell,,,500.0,3.0,0.01,,,,920.0
10.1038/s41598-019-47120-9,other-oxide,other,cathode,other,,0.2,100.0,,,,2.0,,343.2
10.3389/fchem.2019.00656,Zn-metal,Zn-air,anode,full-cell,,,,,,,,,812.0
10.1038/s41598-019-54115-z,NMC,Li-ion,cathode,half-cell,,0.5,50.0,4.3,3.0,,14.6,,205.3
10.1038/s41467-024-53803-3,other,Li-ion,cathode,half-cell,0.2,,,4.1,1.4,,2.0,,257.0
10.1002/aenm.202203207,other-oxide,Li-ion,cathode,half-cell,,,20.0,4.8,1.5,30.0,,,275.0
10.1016/j.electacta.2020.136211,silicon,Li-ion,anode,half-cell,0.1,,150.0,1.5,0.01,,2.26,62.8,1623.0
10.1016/j.cej.2020.127479,MoS2,Na-ion,anode,half-cell,,,,3.0,0.01,25.0,2.8,68.4,540.0
10.1038/s41598-020-67042-1,other-oxide,Li-ion,anode,half-cell,0.05,,,3.0,0.005,,0.875,70.0,1500.0
10.1016/j.electacta.2021.138929,other-oxide,Li-ion,cathode,half-cell,,0.1,,4.3,3.0,30.0,,,200.0
10.1038/s41467-024-53804-2,other,Na-ion,other,full-cell,,1.0,4800.0,2.2,0.1,28.0,,,139.0
10.1002/adma.202208573,other-oxide,Li-ion,anode,half-cell,,1.0,,2.5,1.0,,1.0,,202.0
10.1016/j.electacta.2019.01.113,Li-metal,Li-metal,anode,other,,,,,,,,,3860.0
10.1002/aenm.202101413,other,K-ion,anode,half-cell,0.1,,350.0,3.0,0.01,,,,476.0
10.1016/j.nanoen.2022.107995,sulfur,Na-S,cathode,full-cell,,,180.0,2.4,0.4,60.0,1.4,,1377.0
10.1038/s41598-020-61583-1,sulfur,Li-S,cathode,half-cell,,0.1,,2.7,1.7,,2.0,,1100.0
10.1002/aenm.201900705,other,Li-ion,cathode,half-cell,0.0324,0.1,,3.5,1.4,,,91.7,251.7
10.1038/s41598-022-20026-9,silicon,Li-ion,anode,half-cell,0.1,,100.0,2.5,0.01,,1.0,60.0,1371.4
10.1021/acs.nanolett.3c01034,sulfur,Li-S,cathode,full-cell,,1.0,125.0,2.8,1.8,,,,516.0
10.1038/s41598-022-12657-9,MnO2,Zn-ion,cathode,full-cell,0.1,,,2.0,0.8,,3.0,,325.0
10.1002/adfm.202206845,other-oxide,Li-ion,cathode,half-cell,,0.1,100.0,4.0,1.0,60.0,,106.0,600.0
10.1002/adfm.202210543,other,Li-metal,other,full-cell,,0.5,500.0,,,25.0,,,124.9
10.1016/j.cej.2023.146977,sulfur,Li-S,cathode,full-cell,,2.0,,,,,2.5,,840.0
10.1002/anie.202203466,sulfur,Li-S,cathode,half-cell,0.16,,300.0,,,,2.0,,1065.25
10.1038/s41467-024-55154-5,LCO,Li-ion,cathode,full-cell,0.018,,,4.5,3.0,-10.0,4.46,,183.19
10.1016/j.carbon.2020.06.070,other,Na-ion,anode,other,,,,,,,,,717.0
10.1016/j.ensm.2020.11.005,other-oxide,K-ion,anode,half-cell,0.1,,50.0,2.6,0.01,25.0,1.2,58.6,327.0
10.3389/fchem.2019.00339,other-oxide,Li-ion,anode,half-cell,0.1,,,3.0,0.01,,,69.54,1201.2
10.1002/adfm.202412177,other-oxide,Li-ion,anode,half-cell,5.0,,800.0,3.0,0.01,,,87.3,560.0
10.1038/s41467-024-52949-4,other,Mg-ion,anode,full-cell,0.56,1.0,225.0,,,25.0,5.8,,398.0
10.1021/acsaem.9b02230,NMC,Li-ion,cathode,half-cell,0.005,,1.0,4.5,2.5,,,,203.0
10.1038/s41467-024-54234-w,other-oxide,Li-ion,cathode,full-cell,,,500.0,,,25.0,,,138.3
10.1038/s41467-024-45321-z,Prussian-blue,other,other,half-cell,10.0,,6000.0,1.2,0.0,,,,128.0
10.1021/acsapm.9b00006,sulfur,Li-S,cathode,half-cell,,0.04,,,,30.0,7.0,,1262.0
10.1016/j.nanoen.2020.104569,other,Na-ion,anode,half-cell,4.0,,2000.0,2.0,0.01,,,49.3,1027.0
10.1038/s41467-024-55633-9,other-oxide,Li-S,cathode,full-cell,0.335,0.2,500.0,,,30.0,0.5,,1264.0
10.1016/j.carbon.2023.01.009,graphite,Li-ion,anode,half-cell,0.02,,,3.0,0.0,25.0,5.2,97.9,430.0
10.1038/s41467-024-53570-1,NMC,Li-ion,cathode,half-cell,,0.5,1000.0,4.8,2.7,25.0,1.3,,151.2
10.1016/j.ensm.2022.05.035,other-oxide,Li-metal,cathode,full-cell,,0.1,,,,,25.0,89.3,210.0
10.1038/s41598-019-51087-y,silicon,Li-ion,anode,half-cell,0.1,0.09,200.0,1.5,0.0,25.0,1.0,97.9,455.0
10.1002/aenm.201903333,other-oxide,Li-ion,cathode,half-cell,0.05,,1000.0,4.0,0.7,,,,175.0
10.21926/jept.2201002,other-oxide,Li-ion,cathode,half-cell,,,,4.8,2.0,30.0,,,250.0
10.3389/fchem.2020.00408,other-oxide,Na-ion,anode,half-cell,0.05,,700.0,2.6,0.01,,,,439.0
10.1038/s41598-019-43140-7,other-oxide,Li-ion,cathode,half-cell,,0.1,100.0,,,,,,193.0
10.1038/s41467-023-39258-y,other-oxide,Al-ion,cathode,full-cell,,1.0,500.0,,,150.0,,,327.0
10.1038/s41598-020-59512-3,other-oxide,Li-ion,anode,half-cell,2.4,,1200.0,2.5,0.01,,,,742.0
10.1038/s41598-020-62553-3,LFP,Li-ion,cathode,half-cell,,0.2,,,,,,,142.9
10.1038/s41467-025-56556-9,other-oxide,Mg-ion,cathode,full-cell,0.4,,400.0,2.0,0.4,,,,160.0
10.1038/s41467-025-60170-0,other-oxide,other,cathode,other,,,,,,,,,806.0
10.1038/s41598-019-39988-4,silicon,Li-ion,anode,half-cell,,0.1,50.0,2.0,0.01,,,,942.4
10.1021/acsnano.2c05586,other,Al-ion,cathode,full-cell,0.4,,,2.2,0.0,,,,102.0
10.1016/j.electacta.2020.136642,graphite,Li-ion,anode,half-cell,,0.1,,1.6,0.01,,15.0,95.7,530.0
10.1016/j.electacta.2019.135058,silicon,Li-ion,anode,half-cell,0.1,,100.0,3.0,0.01,25.0,,75.0,799.0
10.1021/acssuschemeng.1c01510,NMC,Li-ion,cathode,half-cell,,0.33,100.0,4.3,3.0,,,,159.9
10.1016/j.ensm.2022.11.049,other-oxide,Li-metal,cathode,full-cell,,0.5,200.0,,,25.0,,,162.2
10.1038/s41467-024-55695-9,LCO,Li-ion,cathode,half-cell,0.07,,,4.5,2.6,25.0,11.58,,154.1
10.1002/adfm.201901719,other-oxide,Li-ion,anode,half-cell,0.05,,100.0,2.2,0.01,22.0,,91.8,629.0
10.1038/s41467-023-42385-1,other-oxide,Li-ion,cathode,full-cell,0.08,,150.0,3.8,2.9,120.0,1.78,,116.4
10.1002/aenm.201903186,other-oxide,Li-ion,anode,half-cell,0.5,,200.0,2.0,0.01,,,85.0,1046.0
10.1038/s41699-021-00279-0,graphite,Li-ion,anode,half-cell,0.02,,,,,,1.0,,370.0
10.3389/fenrg.2020.00211,other-oxide,Zn-ion,cathode,half-cell,0.05,,50.0,1.6,0.4,,,,165.0
10.1038/s41598-022-08584-4,other-oxide,Li-ion,anode,half-cell,,0.1,100.0,3.0,0.01,25.0,,,450.0
10.1038/s41598-024-54509-8,graphite,Li-ion,anode,half-cell,0.02,,100.0,3.0,0.001,25.0,,75.55,293.0
