title,year,venue,cited,doi,pdf
Aluminum-copper alloy anode materials for high-energy aqueous aluminum batteries,2022,Nature Communications,205,10.1038/s41467-022-28238-3,https://www.nature.com/articles/s41467-022-28238-3.pdf
Recent Advances in Covalent Organic Framework Electrode Materials for Alkali Metal-Ion Batteries,2023,CCS Chemistry,204,10.31635/ccschem.023.202302808,
Architecting Amorphous Vanadium Oxide/MXene Nanohybrid via Tunable Anodic Oxidation for High‐Performance Sodium‐Ion Batteries,2021,Figshare,203,10.1002/aenm.202100757,
Cell-like-carbon-micro-spheres for robust potassium anode,2020,National Science Review,201,10.1093/nsr/nwaa276,https://academic.oup.com/nsr/article-pdf/8/9/nwaa276/40346543/nwaa276.pdf
Borate–pyran lean electrolyte-based Li-metal batteries with minimal Li corrosion,2023,Nature Energy,201,10.1038/s41560-023-01405-6,https://www.nature.com/articles/s41560-023-01405-6.pdf
A High‐Kinetics Sulfur Cathode with a Highly Efficient Mechanism for Superior Room‐Temperature Na–S Batteries,2020,Figshare,200,10.1002/adma.201906700,
A Layer‐by‐Layer Self‐Assembled Bio‐Macromolecule Film for Stable Zinc Anode,2023,Advanced Materials,200,10.1002/adma.202306734,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306734
Electrochemically induced amorphous-to-rock-salt phase transformation in niobium oxide electrode for Li-ion batteries,2022,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),197,10.1038/s41563-022-01242-0,
A Universal Polyiodide Regulation Using Quaternization Engineering toward High Value‐Added and Ultra‐Stable Zinc‐Iodine Batteries,2022,Advanced Science,196,10.1002/advs.202105598,
A gradient oxy-thiophosphate-coated Ni-rich layered oxide cathode for stable all-solid-state Li-ion batteries,2023,Nature Communications,196,10.1038/s41467-022-35667-7,https://www.nature.com/articles/s41467-022-35667-7.pdf
Fe3O4-doped mesoporous carbon cathode with a plumber’s nightmare structure for high-performance Li-S batteries,2024,Nature Communications,196,10.1038/s41467-024-49826-5,https://www.nature.com/articles/s41467-024-49826-5.pdf
"High‐Performance, Long‐Life, Rechargeable Li–CO2 Batteries based on a 3D Holey Graphene Cathode Implanted with Single Iron Atoms",2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),194,10.1002/adma.201907436,https://www.osti.gov/servlets/purl/1706137
Rationally Designed Sodium Chromium Vanadium Phosphate Cathodes with Multi‐Electron Reaction for Fast‐Charging Sodium‐Ion Batteries,2022,Advanced Energy Materials,194,10.1002/aenm.202201065,
Realizing high-capacity all-solid-state lithium-sulfur batteries using a low-density inorganic solid-state electrolyte,2023,Nature Communications,194,10.1038/s41467-023-37564-z,https://www.nature.com/articles/s41467-023-37564-z.pdf
Stable zinc anode solid electrolyte interphase via inner Helmholtz plane engineering,2024,Nature Communications,194,10.1038/s41467-024-50890-0,https://www.nature.com/articles/s41467-024-50890-0.pdf
Oxygen-Deficient β-MnO2@Graphene Oxide Cathode for High-Rate and Long-Life Aqueous Zinc Ion Batteries,2021,Nano-Micro Letters,192,10.1007/s40820-021-00691-7,https://link.springer.com/content/pdf/10.1007/s40820-021-00691-7.pdf
Triple‐function Hydrated Eutectic Electrolyte for Enhanced Aqueous Zinc Batteries,2023,Angewandte Chemie International Edition,192,10.1002/anie.202310577,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202310577
A novel Na8Fe5(SO4)9@rGO cathode material with high rate capability and ultra-long lifespan for low-cost sodium-ion batteries,2023,eScience,192,10.1016/j.esci.2023.100186,
Interlayer Modification of Pseudocapacitive Vanadium Oxide and Zn(H2O)n2+ Migration Regulation for Ultrahigh Rate and Durable Aqueous Zinc‐Ion Batteries,2021,Advanced Science,190,10.1002/advs.202004924,
Aqueous Zinc Batteries with Ultra-Fast Redox Kinetics and High Iodine Utilization Enabled by Iron Single Atom Catalysts,2023,Nano-Micro Letters,190,10.1007/s40820-023-01093-7,https://link.springer.com/content/pdf/10.1007/s40820-023-01093-7.pdf
A flexible metallic TiC nanofiber/vertical graphene 1D / 2D heterostructured as active electrocatalyst for advanced Li–S batteries,2021,InfoMat,189,10.1002/inf2.12214,
Universal chemomechanical design rules for solid-ion conductors to prevent dendrite formation in lithium metal batteries,2020,arXiv (Cornell University),188,10.1038/s41563-020-0655-2,https://arxiv.org/pdf/1901.04910
Bridging multiscale interfaces for developing ionically conductive high-voltage iron sulfate-containing sodium-based battery positive electrodes,2023,Nature Communications,188,10.1038/s41467-023-39384-7,https://www.nature.com/articles/s41467-023-39384-7.pdf
The electrolyte comprising more robust water and superhalides transforms Zn‐metal anode reversibly and dendrite‐free,2020,Carbon Energy,186,10.1002/cey2.70,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.70
Proton-assisted calcium-ion storage in aromatic organic molecular crystal with coplanar stacked structure,2021,Nature Communications,185,10.1038/s41467-021-22698-9,https://www.nature.com/articles/s41467-021-22698-9.pdf
Amphoteric Cellulose‐Based Double‐Network Hydrogel Electrolyte Toward Ultra‐Stable Zn Anode,2023,Angewandte Chemie International Edition,185,10.1002/anie.202217833,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202217833
Bifunctional Interphase-Enabled Li 10 GeP 2 S 12 Electrolytes for Lithium–Sulfur Battery,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),184,10.1021/acsenergylett.0c02617,
Hetero‐Polyionic Hydrogels Enable Dendrites‐Free Aqueous Zn‐I 2 Batteries with Fast Kinetics,2023,Advanced Materials,184,10.1002/adma.202306531,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202306531
Interface Engineering of CoS/CoO@N-Doped Graphene Nanocomposite for High-Performance Rechargeable Zn–Air Batteries,2020,Nano-Micro Letters,183,10.1007/s40820-020-00526-x,https://link.springer.com/content/pdf/10.1007/s40820-020-00526-x.pdf
Ice-Assisted Synthesis of Highly Crystallized Prussian Blue Analogues for All-Climate and Long-Calendar-Life Sodium Ion Batteries,2022,Figshare,183,10.1021/acs.nanolett.1c04492,
Hydrogen‐Bond Reinforced Superstructural Manganese Oxide As the Cathode for Ultra‐Stable Aqueous Zinc Ion Batteries,2022,Advanced Energy Materials,183,10.1002/aenm.202201840,
A CrMnFeCoNi high entropy alloy boosting oxygen evolution/reduction reactions and zinc-air battery performance,2023,UPCommons institutional repository (Universitat Politècnica de Catalunya),183,10.1016/j.ensm.2023.03.022,https://upcommons.upc.edu/bitstreams/70b8b9b3-ecb3-4717-aebb-fcdae41f6b7e/download
Hetero Nucleus Growth Stabilizing Zinc Anode for High-Biosecurity Zinc-Ion Batteries,2023,Nano-Micro Letters,183,10.1007/s40820-023-01206-2,https://link.springer.com/content/pdf/10.1007/s40820-023-01206-2.pdf
Membrane‐Free Zn/MnO2 Flow Battery for Large‐Scale Energy Storage,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),182,10.1002/aenm.201902085,
"Mechanically Strong, Freeze‐Resistant, and Ionically Conductive Organohydrogels for Flexible Strain Sensors and Batteries",2023,Advanced Science,182,10.1002/advs.202206591,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202206591
Approaching High‐Performance Lithium Storage Materials by Constructing Hierarchical CoNiO2@CeO2 Nanosheets,2020,Energy & environment materials,181,10.1002/eem2.12140,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12140
Bilateral Interfaces in In 2 Se 3 -CoIn 2 -CoSe 2 Heterostructures for High-Rate Reversible Sodium Storage,2021,DR-NTU (Nanyang Technological University),180,10.1021/acsnano.1c03056,https://dr.ntu.edu.sg/bitstream/10356/154702/2/InCoSe_v4.pdf
High‐Entropy Co‐Free O3‐Type Layered Oxyfluoride: A Promising Air‐Stable Cathode for Sodium‐Ion Batteries,2023,Advanced Materials,180,10.1002/adma.202304440,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202304440
Ultrastable Sodium–Sulfur Batteries without Polysulfides Formation Using Slit Ultramicropore Carbon Carrier,2020,Advanced Science,179,10.1002/advs.201903246,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.201903246
On the crystallography and reversibility of lithium electrodeposits at ultrahigh capacity,2021,Nature Communications,179,10.1038/s41467-021-26143-9,https://www.nature.com/articles/s41467-021-26143-9.pdf
Nanoconfined Strategy Optimizing Hard Carbon for Robust Sodium Storage,2024,Advanced Energy Materials,179,10.1002/aenm.202401763,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202401763
Strongly Coupled 2D Transition Metal Chalcogenide-MXene-Carbonaceous Nanoribbon Heterostructures with Ultrafast Ion Transport for Boosting Sodium/Potassium Ions,2021,Nano-Micro Letters,178,10.1007/s40820-021-00623-5,https://link.springer.com/content/pdf/10.1007/s40820-021-00623-5.pdf
"Safe, Flexible, and High-Performing Gel-Polymer Electrolyte for Rechargeable Lithium Metal Batteries",2021,Chemistry of Materials,178,10.1021/acs.chemmater.1c02952,
Sabatier Relations in Electrocatalysts Based on High‐entropy Alloys with Wide‐distributed d‐band Centers for Li‐O 2 Batteries,2023,Angewandte Chemie International Edition,178,10.1002/anie.202310894,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202310894
Designing Advanced In Situ Electrode/Electrolyte Interphases for Wide Temperature Operation of 4.5 V Li||LiCoO 2 Batteries,2020,Advanced Materials,177,10.1002/adma.202004898,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202004898
Linking Solid Electrolyte Degradation to Charge Carrier Transport in the Thiophosphate‐Based Composite Cathode toward Solid‐State Lithium‐Sulfur Batteries,2021,Advanced Functional Materials,177,10.1002/adfm.202010620,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202010620
Bifunctional Oxygen Electrocatalyst of Mesoporous Ni/NiO Nanosheets for Flexible Rechargeable Zn–Air Batteries,2020,Nano-Micro Letters,176,10.1007/s40820-020-0406-6,https://link.springer.com/content/pdf/10.1007/s40820-020-0406-6.pdf
Insights into the Structure Stability of Prussian Blue for Aqueous Zinc Ion Batteries,2020,Energy & environment materials,176,10.1002/eem2.12108,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12108
New Template Synthesis of Anomalously Large Capacity Hard Carbon for Na‐ and K‐Ion Batteries,2023,Advanced Energy Materials,176,10.1002/aenm.202302647,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202302647
Integration of homogeneous and heterogeneous nucleation growth via 3D alloy framework for stable Na/K metal anode,2021,eScience,175,10.1016/j.esci.2021.09.003,https://www.sciencedirect.com/science/article/pii/S2667141721000057/pdf
Deciphering the lithium storage chemistry in flexible carbon fiber‐based self‐supportive electrodes,2022,Carbon Energy,175,10.1002/cey2.173,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cey2.173
Monodispersed FeS 2 Electrocatalyst Anchored to Nitrogen‐Doped Carbon Host for Lithium–Sulfur Batteries,2022,Advanced Functional Materials,174,10.1002/adfm.202205471,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202205471
Surface strain-enhanced MoS2 as a high-performance cathode catalyst for lithium–sulfur batteries,2022,eScience,173,10.1016/j.esci.2022.07.001,https://www.sciencedirect.com/science/article/pii/S2667141722000799/pdf
Fluorinated Li 10 GeP 2 S 12 Enables Stable All‐Solid‐State Lithium Batteries,2023,Advanced Materials,173,10.1002/adma.202211047,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202211047
Rechargeable Zinc–Air Batteries with an Ultralarge Discharge Capacity per Cycle and an Ultralong Cycle Life,2023,Advanced Materials,173,10.1002/adma.202301952,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202301952
A Low‐Strain Potassium‐Rich Prussian Blue Analogue Cathode for High Power Potassium‐Ion Batteries,2021,Figshare,172,10.1002/anie.202103475,
High-energy and durable lithium metal batteries using garnet-type solid electrolytes with tailored lithium-metal compatibility,2022,Nature Communications,172,10.1038/s41467-022-29531-x,https://www.nature.com/articles/s41467-022-29531-x.pdf
Glassy Metal–Organic‐Framework‐Based Quasi‐Solid‐State Electrolyte for High‐Performance Lithium‐Metal Batteries,2021,Advanced Functional Materials,171,10.1002/adfm.202104300,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202104300
Constructing heterointerface of Bi/Bi2S3 with built-in electric field realizes superior sodium-ion storage capability,2023,eScience,171,10.1016/j.esci.2023.100138,
All-Solid-State Lithium–Sulfur Batteries Enhanced by Redox Mediators,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),170,10.1021/jacs.1c07754,
Boosting Zn||I2 Battery’s Performance by Coating a Zeolite-Based Cation-Exchange Protecting Layer,2022,Nano-Micro Letters,170,10.1007/s40820-022-00825-5,https://link.springer.com/content/pdf/10.1007/s40820-022-00825-5.pdf
Development of rechargeable high-energy hybrid zinc-iodine aqueous batteries exploiting reversible chlorine-based redox reaction,2023,Nature Communications,170,10.1038/s41467-023-37565-y,https://www.nature.com/articles/s41467-023-37565-y.pdf
"MOF-derived Co-MOF,O-doped carbon as trifunctional electrocatalysts to enable highly efficient Zn–air batteries and water-splitting",2020,Journal of Energy Chemistry,169,10.1016/j.jechem.2020.08.007,
A High Conductivity 1D π–d Conjugated Metal–Organic Framework with Efficient Polysulfide Trapping‐Diffusion‐Catalysis in Lithium–Sulfur Batteries,2022,Dipòsit Digital de Documents de la UAB (Universitat Autònoma de Barcelona),169,10.1002/adma.202108835,
Single‐Ion‐Functionalized Nanocellulose Membranes Enable Lean‐Electrolyte and Deeply Cycled Aqueous Zinc‐Metal Batteries,2022,Advanced Functional Materials,169,10.1002/adfm.202200429,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202200429
"Realizing long-cycling all-solid-state Li-In||TiS2 batteries using Li6+xMxAs1-xS5I (M=Si, Sn) sulfide solid electrolytes",2023,Nature Communications,169,10.1038/s41467-023-39686-w,https://www.nature.com/articles/s41467-023-39686-w.pdf
Manipulating Li2S2/Li2S mixed discharge products of all-solid-state lithium sulfur batteries for improved cycle life,2023,Nature Communications,169,10.1038/s41467-023-42109-5,https://www.nature.com/articles/s41467-023-42109-5.pdf
Pyridinic N‐Dominated Hard Carbon with Accessible Carbonyl Groups Enabling 98% Initial Coulombic Efficiency for Sodium‐Ion Batteries,2024,Advanced Functional Materials,169,10.1002/adfm.202403144,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202403144
A Mo5N6 electrocatalyst for efficient Na2S electrodeposition in room-temperature sodium-sulfur batteries,2021,Nature Communications,168,10.1038/s41467-021-27551-7,https://www.nature.com/articles/s41467-021-27551-7.pdf
In Situ Synthesis of MXene with Tunable Morphology by Electrochemical Etching of MAX Phase Prepared in Molten Salt,2022,Advanced Energy Materials,168,10.1002/aenm.202203805,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202203805
Quasi‐Localized High‐Concentration Electrolytes for High‐Voltage Lithium Metal Batteries,2023,Advanced Energy Materials,168,10.1002/aenm.202301396,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301396
Protein Interfacial Gelation toward Shuttle‐Free and Dendrite‐Free Zn–Iodine Batteries,2024,Advanced Materials,168,10.1002/adma.202404011,
A High-Capacity Ammonium Vanadate Cathode for Zinc-Ion Battery,2020,Nano-Micro Letters,167,10.1007/s40820-020-0401-y,https://link.springer.com/content/pdf/10.1007/s40820-020-0401-y.pdf
Pillar-beam structures prevent layered cathode materials from destructive phase transitions,2021,Nature Communications,167,10.1038/s41467-020-20169-1,https://www.nature.com/articles/s41467-020-20169-1.pdf
In Situ Oriented Mn Deficient ZnMn 2 O 4 @C Nanoarchitecture for Durable Rechargeable Aqueous Zinc‐Ion Batteries,2021,Advanced Science,167,10.1002/advs.202002636,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202002636
Achieving stable Na metal cycling via polydopamine/multilayer graphene coating of a polypropylene separator,2021,Nature Communications,167,10.1038/s41467-021-26032-1,https://www.nature.com/articles/s41467-021-26032-1.pdf
Flexible Hierarchical Co‐Doped NiS 2 @CNF‐CNT Electron Deficient Interlayer with Grass‐Roots Structure for Li–S Batteries,2023,Advanced Energy Materials,167,10.1002/aenm.202300452,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202300452
Three Electron Reversible Redox Reaction in Sodium Vanadium Chromium Phosphate as a High‐Energy‐Density Cathode for Sodium‐Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),166,10.1002/adfm.201908680,
Consecutive chemical bonds reconstructing surface structure of silicon anode for high-performance lithium-ion battery,2021,,165,10.1016/j.ensm.2021.04.043,
A Fe Single Atom Seed‐Mediated Strategy Toward Fe 3 C/FeNC Catalysts with Outstanding Bifunctional ORR/OER Activities,2023,Advanced Science,165,10.1002/advs.202301656,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202301656
A Freestanding Flexible Single‐Atom Cobalt‐Based Multifunctional Interlayer toward Reversible and Durable Lithium‐Sulfur Batteries,2020,,164,10.1002/smtd.201900701,
Metal chalcogenide hollow polar bipyramid prisms as efficient sulfur hosts for Na-S batteries,2020,Nature Communications,164,10.1038/s41467-020-19078-0,https://www.nature.com/articles/s41467-020-19078-0.pdf
Strong Solvent and Dual Lithium Salts Enable Fast-Charging Lithium-Ion Batteries Operating from −78 to 60 °C,2023,Journal of the American Chemical Society,164,10.1021/jacs.3c08313,https://pubs.acs.org/doi/pdf/10.1021/jacs.3c08313
Multi‐Electron Reactions Enabled by Anion‐Based Redox Chemistry for High‐Energy Multivalent Rechargeable Batteries,2020,Angewandte Chemie International Edition,163,10.1002/anie.202002560,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202002560
Insights into the Enhanced Cycle and Rate Performances of the F‐Substituted P2‐Type Oxide Cathodes for Sodium‐Ion Batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),163,10.1002/aenm.202000135,https://www.osti.gov/servlets/purl/1608689
Carbon Dots@rGO Paper as Freestanding and Flexible Potassium‐Ion Batteries Anode,2020,Advanced Science,163,10.1002/advs.202000470,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/advs.202000470
In Situ Lattice Tunnel Distortion of Vanadium Trioxide for Enhancing Zinc Ion Storage,2021,Figshare,163,10.1002/aenm.202100973,
An Ultrahigh Rate and Stable Zinc Anode by Facet‐Matching‐Induced Dendrite Regulation,2022,Figshare,163,10.1002/adma.202203835,
Effectively Modulating Oxygen Vacancies in Flower-Like δ-MnO2 Nanostructures for Large Capacity and High-Rate Zinc-Ion Storage,2023,Nano-Micro Letters,163,10.1007/s40820-023-01194-3,https://link.springer.com/content/pdf/10.1007/s40820-023-01194-3.pdf
Surface engineering of inorganic solid-state electrolytes via interlayers strategy for developing long-cycling quasi-all-solid-state lithium batteries,2023,Nature Communications,162,10.1038/s41467-023-36401-7,
Magnesium Ion Doping and Micro‐Structural Engineering Assist NH4V4O10 as a High‐Performance Aqueous Zinc Ion Battery Cathode,2023,Advanced Functional Materials,162,10.1002/adfm.202306205,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202306205
Anti‐Fatigue Hydrogel Electrolyte for All‐Flexible Zn‐Ion Batteries,2023,Advanced Materials,161,10.1002/adma.202300498,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202300498
Loosening Zinc Ions from Separator Boosts Stable Zn Plating/Striping Behavior for Aqueous Zinc Ion Batteries,2023,Advanced Energy Materials,161,10.1002/aenm.202302126,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202302126
Cross-linked polyaniline for production of long lifespan aqueous iron||organic batteries with electrochromic properties,2023,Nature Communications,160,10.1038/s41467-023-38890-y,https://www.nature.com/articles/s41467-023-38890-y.pdf
Interplay between electrochemical reactions and mechanical responses in silicon–graphite anodes and its impact on degradation,2021,Nature Communications,159,10.1038/s41467-021-22662-7,https://www.nature.com/articles/s41467-021-22662-7.pdf
High‐Entropy Spinel Oxide Nanofibers as Catalytic Sulfur Hosts Promise the High Gravimetric and Volumetric Capacities for Lithium–Sulfur Batteries,2021,Energy & environment materials,159,10.1002/eem2.12215,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12215
Engineering Catalytic CoSe–ZnSe Heterojunctions Anchored on Graphene Aerogels for Bidirectional Sulfur Conversion Reactions,2021,Advanced Science,159,10.1002/advs.202103456,
Carbon-coated MoS1.5Te0.5 nanocables for efficient sodium-ion storage in non-aqueous dual-ion batteries,2022,Nature Communications,158,10.1038/s41467-022-28176-0,https://www.nature.com/articles/s41467-022-28176-0.pdf
Regulating Phase Transition and Oxygen Redox to Achieve Stable High‐Voltage O3‐Type Cathode Materials for Sodium‐Ion Batteries,2023,Advanced Energy Materials,158,10.1002/aenm.202302793,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202302793
Solid‐State Lithium–Sulfur Battery Enabled by Thio‐LiSICON/Polymer Composite Electrolyte and Sulfurized Polyacrylonitrile Cathode,2020,Advanced Functional Materials,157,10.1002/adfm.201910123,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201910123
Synergistic Effect of Cation and Anion for Low-Temperature Aqueous Zinc-Ion Battery,2021,Nano-Micro Letters,157,10.1007/s40820-021-00733-0,https://link.springer.com/content/pdf/10.1007/s40820-021-00733-0.pdf
Hierarchical Co3O4@N-Doped Carbon Composite as an Advanced Anode Material for Ultrastable Potassium Storage,2020,,156,10.1021/acsnano.0c01395,
Boosting Cathode Activity and Anode Stability of Zn‐S Batteries in Aqueous Media Through Cosolvent‐Catalyst Synergy,2022,Figshare,156,10.1002/anie.202212666,
Solvation Modulation Enhances Anion‐Derived Solid Electrolyte Interphase for Deep Cycling of Aqueous Zinc Metal Batteries,2023,Angewandte Chemie International Edition,156,10.1002/anie.202310290,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202310290
High‐ionicity fluorophosphate lattice via aliovalent substitution as advanced cathode materials in sodium‐ion batteries,2021,InfoMat,155,10.1002/inf2.12184,
Synergistic Modulation of In‐Situ Hybrid Interface Construction and pH Buffering Enabled Ultra‐Stable Zinc Anode at High Current Density and Areal Capacity,2023,Angewandte Chemie International Edition,155,10.1002/anie.202311988,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202311988
A polymer electrolyte with a thermally induced interfacial ion-blocking function enables safety-enhanced lithium metal batteries,2022,eScience,154,10.1016/j.esci.2022.03.001,https://www.sciencedirect.com/science/article/pii/S2667141722000234/pdf
Dextran: A Multifunctional and Universal Electrolyte Additive for Aqueous Zn Ion Batteries,2023,Advanced Energy Materials,154,10.1002/aenm.202301743,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202301743
High-Entropy Layered Oxide Cathode Enabling High-Rate for Solid-State Sodium-Ion Batteries,2023,Nano-Micro Letters,154,10.1007/s40820-023-01232-0,https://link.springer.com/content/pdf/10.1007/s40820-023-01232-0.pdf
Porous Co2VO4 Nanodisk as a High-Energy and Fast-Charging Anode for Lithium-Ion Batteries,2021,Nano-Micro Letters,153,10.1007/s40820-021-00758-5,https://link.springer.com/content/pdf/10.1007/s40820-021-00758-5.pdf
Unified throughout‐pore microstructure enables ultrahigh separator porosity for robust high‐flux lithium batteries,2023,Electron,153,10.1002/elt2.1,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/elt2.1
Nanoscale Mapping of Extrinsic Interfaces in Hybrid Solid Electrolytes,2020,Joule,152,10.1016/j.joule.2019.11.015,http://www.cell.com/article/S2542435119305823/pdf
Anchoring Polyiodide to Conductive Polymers as Cathode for High-Performance Aqueous Zinc–Iodine Batteries,2020,,152,10.1021/acssuschemeng.0c05283,
Lithiation Mechanism in High-Entropy Oxides as Anode Materials for Li-Ion Batteries: An Operando XAS Study,2020,ACS Applied Materials & Interfaces,152,10.1021/acsami.0c13161,https://pubs.acs.org/doi/pdf/10.1021/acsami.0c13161
Cell‐Shearing Chemistry Directed Closed‐Pore Regeneration in Biomass‐Derived Hard Carbons for Ultrafast Sodium Storage,2024,Advanced Materials,152,10.1002/adma.202412989,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202412989
Lithium-conducting covalent-organic-frameworks as artificial solid-electrolyte-interphase on silicon anode for high performance lithium ion batteries,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),151,10.1016/j.nanoen.2020.104657,https://www.osti.gov/servlets/purl/1985467
Quantification of Inactive Lithium and Solid–Electrolyte Interphase Species on Graphite Electrodes after Fast Charging,2020,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),151,10.1021/acsenergylett.0c00859,https://www.osti.gov/servlets/purl/1660095
Building a Better Li‐Garnet Solid Electrolyte/Metallic Li Interface with Antimony,2021,Advanced Energy Materials,151,10.1002/aenm.202102086,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202102086
Defect‐Concentration‐Mediated T‐Nb2O5 Anodes for Durable and Fast‐Charging Li‐Ion Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),151,10.1002/adfm.202107060,https://www.osti.gov/servlets/purl/1981338
"Ice‐Templated, Sustainable Carbon Aerogels with Hierarchically Tailored Channels for Sodium‐ and Potassium‐Ion Batteries",2022,Advanced Functional Materials,151,10.1002/adfm.202110862,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202110862
High voltage electrolytes for lithium-ion batteries with micro-sized silicon anodes,2024,Nature Communications,151,10.1038/s41467-024-45374-0,https://www.nature.com/articles/s41467-024-45374-0.pdf
MXene-Derived Defect-Rich TiO2@rGO as High-Rate Anodes for Full Na Ion Batteries and Capacitors,2020,Nano-Micro Letters,150,10.1007/s40820-020-00471-9,https://link.springer.com/content/pdf/10.1007/s40820-020-00471-9.pdf
A Sodium–Antimony–Telluride Intermetallic Allows Sodium‐Metal Cycling at 100% Depth of Discharge and as an Anode‐Free Metal Battery,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),150,10.1002/adma.202106005,
Hierarchical and lamellar porous carbon as interconnected sulfur host and polysulfide-proof interlayer for Li–S batteries,2022,eScience,150,10.1016/j.esci.2022.100088,
Covalent Organic Framework with 3D Ordered Channel and Multi-Functional Groups Endows Zn Anode with Superior Stability,2024,Nano-Micro Letters,150,10.1007/s40820-023-01278-0,https://link.springer.com/content/pdf/10.1007/s40820-023-01278-0.pdf
Ultrahigh-nickel layered cathode with cycling stability for sustainable lithium-ion batteries,2024,Nature Sustainability,149,10.1038/s41893-024-01402-x,https://www.nature.com/articles/s41893-024-01402-x.pdf
High Capacity and Fast Kinetics of Potassium-Ion Batteries Boosted by Nitrogen-Doped Mesoporous Carbon Spheres,2021,Nano-Micro Letters,148,10.1007/s40820-021-00706-3,https://link.springer.com/content/pdf/10.1007/s40820-021-00706-3.pdf
An Aqueous Conducting Redox‐Polymer‐Based Proton Battery that Can Withstand Rapid Constant‐Voltage Charging and Sub‐Zero Temperatures,2020,Angewandte Chemie International Edition,147,10.1002/anie.202001191,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202001191
In Situ Synthesis of Graphene‐Coated Silicon Monoxide Anodes from Coal‐Derived Humic Acid for High‐Performance Lithium‐Ion Batteries,2021,OSTI OAI (U.S. Department of Energy Office of Scientific and Technical Information),147,10.1002/adfm.202101645,
Production of fast-charge Zn-based aqueous batteries via interfacial adsorption of ion-oligomer complexes,2022,Nature Communications,147,10.1038/s41467-022-29954-6,https://www.nature.com/articles/s41467-022-29954-6.pdf
Binuclear Cu complex catalysis enabling Li–CO2 battery with a high discharge voltage above 3.0 V,2023,Nature Communications,147,10.1038/s41467-023-36276-8,https://www.nature.com/articles/s41467-023-36276-8.pdf
