n_sites,space_group,volume,band_gap,ferroelectric
6,129,113.433621249,1.99,yes
8,225,140.873035517,3.24,yes
5,139,118.091162537,2.78,yes
5,221,80.19313130180001,2.94,yes
8,148,159.151120071,5.09,yes
6,129,89.6561101478,3.12,yes
8,122,152.70087580700002,0.71,yes
9,225,268.3262271,2.46,yes
8,194,90.8132160928,0.78,yes
6,23,175.19096376,2.26,yes
4,225,59.2669261749,0.17,yes
4,225,46.105576176099994,0.4,yes
9,225,383.52587985199995,0.51,yes
5,139,97.0216391342,0.51,yes
8,194,136.59096743700002,2.42,yes
8,148,124.754625685,2.41,yes
7,166,182.84111536900002,1.05,yes
8,148,133.97657614,4.65,yes
8,63,282.631329863,1.19,yes
8,166,132.890929915,2.11,yes
8,129,118.141832119,0.79,yes
10,12,231.06021549599998,0.15,yes
8,148,117.427480422,1.42,yes
8,140,268.86725156,1.7,yes
5,71,125.17274306700001,1.23,yes
6,164,106.92802604299999,0.61,yes
10,194,371.81580772,2.9,yes
9,225,162.324605193,4.98,yes
4,166,40.836510513600004,1.8,yes
5,164,107.38171690899999,0.39,yes
6,129,98.0647981141,4.57,yes
7,82,222.233336297,1.63,yes
9,225,416.188935424,0.12,yes
6,123,88.2616637182,6.88,yes
8,194,93.1354346394,1.68,yes
5,164,154.408793178,0.98,yes
6,129,250.86899426,1.5,yes
4,166,70.3895365004,0.85,yes
8,166,146.46445922700002,4.33,yes
8,122,186.23935975,0.7,yes
3,216,65.3124060379,0.64,yes
5,221,73.4881375547,0.37,yes
6,129,106.121853894,5.67,yes
3,187,83.0265787329,0.6,yes
10,11,339.235958864,3.76,yes
10,72,313.371550817,0.99,yes
5,164,150.943202456,1.27,yes
10,148,152.063215292,1.09,yes
9,225,242.913186107,1.1,yes
5,221,145.627631365,0.26,yes
10,11,196.345138902,2.71,yes
8,194,113.871039181,1.76,yes
6,51,233.293520545,1.11,yes
8,148,122.78143063,2.11,yes
7,166,246.31844566799998,0.89,yes
5,139,81.3278839809,1.65,yes
9,87,125.31842746299999,0.43,yes
9,162,98.94960425229999,1.72,yes
8,217,262.739926653,2.25,yes
6,164,208.069747575,2.17,yes
8,129,146.196611715,1.25,yes
3,216,59.3955999005,0.67,yes
8,215,186.375773342,1.6,yes
8,71,141.23223044600002,2.08,yes
10,194,352.815798759,1.29,yes
6,129,137.471829036,0.63,yes
8,194,91.4446588756,1.41,yes
6,65,69.1183103414,3.14,yes
10,194,331.714993516,1.18,yes
6,194,128.42167015,1.73,yes
10,63,249.1108386,0.64,yes
6,186,226.76280087799998,1.51,yes
3,216,60.504118955600006,0.79,yes
8,194,123.81468970799999,0.24,yes
9,164,156.414875046,3.87,yes
3,216,59.9678400762,1.37,yes
5,164,148.159474079,0.11,yes
6,129,187.083862155,2.41,yes
6,63,195.33869494599998,1.99,yes
8,63,184.91103437200002,1.46,yes
8,36,125.51713116,5.62,yes
7,82,236.359794614,1.04,yes
6,129,169.192669533,3.29,yes
8,148,114.21073671,2.54,yes
8,148,127.616276931,1.69,yes
8,194,187.513189273,0.69,yes
3,216,31.4712760554,2.27,yes
4,166,33.2199244427,6.12,yes
7,160,212.02960377099998,1.59,yes
3,216,47.7213399033,1.34,yes
5,164,38.608081652399996,4.07,yes
4,166,51.8042969552,1.91,yes
5,160,81.6907056244,2.96,yes
8,148,105.35723006,1.55,yes
7,121,158.066776032,1.55,yes
10,148,125.96271635299999,0.88,yes
10,36,180.848240017,6.61,yes
4,164,88.5995389719,0.68,yes
7,166,258.701091275,0.82,yes
4,225,110.59291225,0.38,yes
8,148,117.32088255200001,1.66,yes
6,36,265.269309745,2.35,yes
8,148,115.63260302100001,3.71,yes
8,225,150.983219749,1.68,yes
4,225,86.16815787690001,0.33,yes
7,139,178.59007244400001,2.21,yes
7,82,189.71851932099997,1.35,yes
8,215,169.427157825,1.92,yes
4,47,68.3992278832,1.07,yes
10,148,100.28834942299999,3.39,yes
8,215,211.22125698,1.88,yes
5,164,39.8323760732,3.13,yes
8,148,113.148591937,7.02,yes
8,148,104.25659822799999,1.59,yes
10,161,232.146778386,3.34,yes
8,148,103.135037648,1.83,yes
4,166,158.815464381,1.7,yes
8,217,226.02187528299999,1.95,yes
8,194,185.059989221,2.35,yes
9,164,164.367806089,4.29,yes
8,15,264.985678359,3.05,yes
5,221,119.075809281,0.37,yes
4,44,55.887802434899996,2.42,yes
8,15,181.926787805,2.2,yes
5,221,64.904612951,2.21,yes
8,148,123.05818390000002,4.95,yes
5,221,92.1700424191,6.4,yes
4,123,58.1500700741,0.4,no
6,194,194.906918266,0.45,yes
7,221,212.33680962,1.67,yes
7,123,104.174976479,0.57,yes
4,166,70.38401701640001,3.21,yes
8,63,158.307962917,0.66,yes
8,63,222.317158241,5.15,yes
10,148,136.009912749,2.7,yes
10,194,340.35763896,0.65,yes
5,71,168.57911100299998,0.79,yes
9,225,251.964637628,2.08,yes
8,148,101.76535139100001,5.14,yes
5,221,75.4392421678,2.07,yes
9,12,145.626514668,3.23,yes
8,166,111.38346997200001,1.94,yes
5,164,124.561649428,0.22,yes
10,72,305.71344929599996,1.11,yes
7,139,119.527262208,6.23,yes
7,139,297.020976124,0.85,yes
9,225,111.19804263799999,2.23,yes
4,166,92.19046724190001,2.28,yes
5,160,93.0260659574,2.57,yes
8,194,304.35078255,1.36,yes
5,71,140.575607305,0.93,yes
5,164,144.701063515,0.79,yes
9,225,295.593680785,2.21,yes
8,225,144.548637928,4.61,yes
8,166,123.600595313,4.9,yes
9,162,137.140241939,1.93,yes
8,194,100.45065644399999,0.58,yes
5,221,105.524213835,0.8,yes
9,225,305.071198753,0.97,yes
8,148,131.33352914600002,3.85,yes
5,164,131.61039277,0.68,yes
5,164,165.556782139,0.85,yes
10,59,186.48538974,3.07,yes
6,129,171.983336276,4.31,yes
4,156,73.2891367846,0.87,yes
8,148,110.411667735,4.09,yes
5,164,114.368586279,0.82,yes
6,63,195.066458912,1.82,yes
5,221,95.00608154700001,3.29,yes
4,166,46.9570443648,0.81,yes
7,166,275.752469286,0.7,yes
10,160,137.491761837,2.2,yes
7,121,149.273738952,1.89,yes
3,216,51.1768230712,1.05,yes
3,216,64.4224554231,0.3,yes
10,164,86.17978620379999,3.71,yes
9,225,165.02600910299998,3.3,yes
8,148,93.59810183719999,7.54,yes
10,43,259.940524457,3.65,yes
6,129,138.812966256,2.27,yes
8,194,267.05613319400004,0.15,yes
4,12,39.0734117375,0.38,yes
6,82,66.1970001005,7.26,yes
5,139,112.843749189,2.03,yes
6,59,109.16789407200001,0.56,yes
7,97,254.206639635,0.53,yes
9,225,159.662108583,6.99,yes
3,160,52.5936141464,3.15,yes
5,71,136.470599627,1.25,yes
4,166,38.020151713800004,1.79,yes
8,63,233.235439658,0.95,yes
10,194,343.916002602,0.71,yes
6,82,72.3230155813,4.26,yes
5,221,173.60243625,0.41,yes
7,82,165.964355413,1.57,yes
8,166,231.250527124,1.25,yes
6,129,214.776125194,1.3,yes
9,164,254.777593365,0.41,yes
3,216,53.1671022082,0.51,yes
7,139,151.13152052200002,3.3,yes
10,63,145.35508566299998,2.69,yes
10,194,144.85175010700002,1.92,yes
8,148,112.357788101,0.77,yes
4,164,63.7299457353,0.65,yes
4,166,48.7048289846,0.96,yes
6,129,102.078233972,3.84,yes
3,187,98.4395710757,0.35,yes
8,122,177.685382695,0.96,yes
9,189,248.961681097,0.81,yes
8,122,202.532792999,0.38,yes
9,189,341.99662325599996,0.24,yes
6,129,179.17406466900002,2.82,yes
10,36,205.88892883,0.95,yes
4,166,56.879499598500004,0.24,yes
8,140,189.51058019299998,2.15,yes
8,122,245.83100238900002,2.44,yes
8,148,151.9710861,2.62,yes
6,164,139.372900594,0.2,yes
8,194,125.897161466,2.65,yes
9,225,146.521753257,3.27,yes
10,63,293.075816445,0.65,yes
3,216,61.2077909007,0.18,yes
8,194,78.82775314220001,0.74,yes
9,225,169.399006685,2.26,yes
4,166,80.4253941195,1.81,yes
9,162,104.870656905,1.93,yes
9,164,187.042907765,7.23,yes
9,225,404.333074826,0.65,yes
9,162,95.7033353806,1.93,yes
8,63,233.068563652,1.23,yes
9,225,100.16103787,3.61,yes
9,164,159.031109836,2.64,yes
8,122,252.155065381,1.05,yes
7,82,188.88545369,1.43,yes
4,166,43.162275118100005,2.91,yes
3,156,125.12318883299999,1.27,yes
4,166,139.017819828,2.32,yes
10,148,240.345505594,2.28,yes
4,166,124.507538301,2.68,yes
8,166,110.246828654,7.42,yes
10,148,196.25159167599998,2.43,yes
6,129,119.91428772200001,4.04,yes
9,225,139.856762476,2.36,yes
7,111,212.49312087799998,0.87,yes
8,194,220.041363275,3.6,yes
4,216,73.8823059248,0.14,yes
5,221,177.269065066,0.21,yes
6,186,227.725015206,0.26,yes
