crystallinity,synthesis,spacegroup,temperature_K,zT
Polycrystalline,"Arc melted, Ar",216.0,400.0,0.151338494
Polycrystalline,"Melted, vacuum",204.0,300.0,0.1113909
Single crystal,Melted,12.0,700.0,0.559676118
Single crystal,"Czochralski method, He",223.0,700.0,0.367429842
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.105970331
Polycrystalline,"Bridgman method, Ar-H gas",225.0,700.0,0.444343225
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.047104642
Polycrystalline,Solid state reaction,62.0,700.0,0.019480754
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.025493657
Polycrystalline,"Solid state reaction, He/H2",225.0,700.0,0.817687862
Single crystal,"Floating zone method, Ar",36.0,300.0,0.038163333
Polycrystalline,"Solid state reaction , Ar",221.0,300.0,0.10088053
Single crystal,Floating zone melting,216.0,400.0,0.122115456
Polycrystalline,"Solid state reaction, Ar",62.0,700.0,0.320208123
Polycrystalline,Vacuum hot pressed,227.0,1000.0,0.862981105
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.2697
Polycrystalline,Solid state reaction,11.0,400.0,0.03772212
Polycrystalline,Melting,225.0,700.0,1.20211
Polycrystalline,Spark plasma sintering,10.0,400.0,0.033229299
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.362358717
Polycrystalline,"Solid state reaction, Ar",62.0,400.0,0.039855097
Polycrystalline,"Solid state reaction, air",186.0,1000.0,0.074061501
Single crystal,Melted,166.0,300.0,0.178443558
Polycrystalline,Arc melting,223.0,400.0,0.224499836
Polycrystalline,Solid state reaction,204.0,700.0,1.27177965
Polycrystalline,Solid state reaction,62.0,1000.0,0.0495538
Single crystal,"Flux (NaCl), air",194.0,300.0,0.035775294
Single crystal,Floating zone melting,216.0,400.0,0.066676394
Polycrystalline,Solid state reaction (under oxygen),74.0,300.0,0.014141215
Polycrystalline,"Flux (Al), dynamic vacuum",223.0,300.0,0.015529759
Polycrystalline,Solid state reaction,223.0,300.0,0.223320108
Polycrystalline,"Solid state reaction, Ar",55.0,300.0,0.083262737
Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,300.0,0.054370144
Polycrystalline,Solid state reaction,225.0,400.0,7.4551e-06
Polycrystalline,Solid state reaction (under oxygen),74.0,300.0,0.012368285
Polycrystalline,"Solid state reaction, Ar",55.0,1000.0,0.649112203
Polycrystalline,"Solid state reaction, air",139.0,700.0,0.005984998
Polycrystalline,Solid state reaction,204.0,700.0,0.889593963
Polycrystalline,"Solid state reaction, He/H2",225.0,700.0,0.476989374
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.199889676
Polycrystalline,Solid state reaction,204.0,400.0,0.668512792
Polycrystalline,"Arc-melted, Ar",64.0,400.0,0.005222357
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.001636395
Polycrystalline,Solid state reaction,206.0,1000.0,0.231919011
Polycrystalline,"Solid state reaction, air",194.0,400.0,0.120081428
Polycrystalline,Spark plasma sintering,10.0,400.0,0.010430437
Polycrystalline,"Solid state reaction, Ar",55.0,300.0,0.022589755
Polycrystalline,"Mechanochemical, Ar",225.0,400.0,0.111175665
Polycrystalline,"Solid state reaction, He/H2",225.0,300.0,0.000131668
Polycrystalline,"Solid state reaction, Ar",62.0,1000.0,0.73390925
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.414
Polycrystalline,"Melted, vacuum",225.0,700.0,0.532025577
Polycrystalline,Co-precipitation,62.0,700.0,0.13283632
Polycrystalline,Solid state reaction,11.0,400.0,0.01211792
Polycrystalline,Solid state reaction,62.0,400.0,0.020374273
Polycrystalline,"Solid state reaction, air",186.0,700.0,0.000291113
Single crystal,Solid state reaction + extra,,300.0,0.076639366
Polycrystalline,"Solid state reaction, He/H2",225.0,400.0,0.165970427
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.000194341
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.013289439
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.021350298
Polycrystalline,"Solid state reaction, He/H2",225.0,1000.0,0.176754891
Single crystal,Solid state reaction + extra,,1000.0,1.191133093
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.003505948
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.001234787
Polycrystalline,"Solid state reaction, air",12.0,400.0,0.06273382
Polycrystalline,"Solid state reaction, air",62.0,1000.0,0.096459952
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,400.0,0.174640844
Polycrystalline,Solid state reaction,204.0,400.0,0.644976838
Polycrystalline,Melted,225.0,700.0,1.387416646
Polycrystalline,Solid state reaction,206.0,1000.0,0.240031089
Polycrystalline,"Solid state reaction, He/H2",225.0,400.0,0.07143602
Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,300.0,0.005928401
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.001140242
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.42941353
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.08031864
Polycrystalline,Solid state reaction,15.0,300.0,0.000314602
Polycrystalline,"Melted, inert",167.0,300.0,0.173267726
Polycrystalline,Vacuum hot pressed,227.0,400.0,0.159453467
Polycrystalline,"Solid state reaction, air",139.0,300.0,0.001088945
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.150488885
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.330553514
Polycrystalline,"Solid state reaction, Ar",167.0,700.0,1.055896648
Polycrystalline,"Solid state reaction , Ar",221.0,400.0,0.160340956
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.015062724
Polycrystalline,Solid state reaction,62.0,1000.0,0.133018362
Polycrystalline,Co-precipitation,62.0,400.0,0.051454878
Polycrystalline,"Melted, inert",223.0,400.0,0.101322945
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.030958179
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.014946413
Polycrystalline,"Solid state reaction, He/H2",225.0,300.0,0.019023797
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.281365063
Polycrystalline,"Melted, inert",223.0,700.0,0.177710375
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.101046052
Polycrystalline,"Mechanochemical, Ar",225.0,700.0,0.636122931
Polycrystalline,"Solid state reaction, air",12.0,1000.0,0.19962406
Polycrystalline,Solid state reaction,62.0,400.0,0.03507392
Polycrystalline,"Solid state reaction, He/H2",225.0,300.0,2.08874e-06
Polycrystalline,Solid state reaction,62.0,700.0,0.032386419
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.004765211
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,300.0,0.058035382
Polycrystalline,"Solid state reaction, air",139.0,400.0,0.002221923
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.14946236
Single crystal,Melted,12.0,1000.0,1.074714975
Polycrystalline,"Solid state reaction, He/H2",225.0,300.0,0.046234899
Polycrystalline,Vacuum hot pressed,227.0,700.0,0.369646753
Polycrystalline,"Solid state reaction, air",139.0,700.0,0.005420334
Polycrystalline,"Solid state reaction, air",186.0,300.0,0.000214908
Polycrystalline,Solid state reaction,206.0,1000.0,0.277913956
Polycrystalline,Solid state reaction,11.0,300.0,0.02291151
Single crystal,Floating zone melting,216.0,400.0,0.120287894
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.092574824
Polycrystalline,"Solid state reaction, vacuum",2.0,300.0,0.014074574
Polycrystalline,"Melted, inert",223.0,300.0,0.081692308
Polycrystalline,Solid state reaction,206.0,700.0,0.104779859
Polycrystalline,"Solid state reaction, Ar",223.0,300.0,0.062217051
Polycrystalline,Melting,225.0,300.0,0.110523
Polycrystalline,"Solid state reaction, Ar",220.0,400.0,0.047679116
Polycrystalline,"Solid state reaction, air",62.0,400.0,0.00093196
Polycrystalline,Melting,225.0,400.0,0.240747
Polycrystalline,"Solid state reaction, air",12.0,300.0,0.027932029
Polycrystalline,Solid state reaction,62.0,400.0,0.017140379
Polycrystalline,Solid state reaction,62.0,1000.0,0.0770762
Single crystal,Floating zone melting,216.0,700.0,0.218130295
Polycrystalline,"Mechanochemical, Ar",225.0,400.0,0.130178868
Single crystal,Floating zone melting,216.0,300.0,0.07963356
Polycrystalline,Solid state reaction,204.0,400.0,0.631923014
Polycrystalline,"Solid state reaction, air",139.0,700.0,0.006813229
Polycrystalline,"Solid state reaction, Ar",55.0,400.0,0.071958348
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.529517135
Polycrystalline,"Solid state reaction, air",166.0,1000.0,0.00617642
Polycrystalline,Solid state reaction,62.0,1000.0,0.128986958
Polycrystalline,Arc melting,223.0,300.0,0.01603609
Polycrystalline,"Solid state reaction, Ar",221.0,700.0,0.057941815
Polycrystalline,"Arc-melted, Ar",216.0,700.0,0.549896257
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.061376527
Polycrystalline,"Solid state reaction, Ar",223.0,1000.0,0.742094099
Single crystal,"Flux (NaCl), air",194.0,400.0,0.080229444
Polycrystalline,Arc melting,223.0,300.0,0.118216187
Polycrystalline,"Mechanochemical, Ar",225.0,400.0,0.15845229
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.243444308
Polycrystalline,Melted,167.0,400.0,0.244800824
Single crystal,Melted,12.0,400.0,0.23521233
Polycrystalline,"Templated grain growth, air, anneal P(O2) = 10$^{-14}$",100.0,700.0,0.187981765
Polycrystalline,Solid state reaction,206.0,700.0,0.100865679
Polycrystalline,Sparks plasma sintering,225.0,300.0,0.10173
Polycrystalline,Solid state reaction,204.0,400.0,0.809426937
Polycrystalline,Solid state reaction,62.0,300.0,0.012410311
Polycrystalline,Spark plasma sintering,10.0,700.0,0.039515646
Polycrystalline,Solid state reaction,62.0,400.0,0.011603063
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.537
Polycrystalline,Combination of melting and powder metallurgy techniques,204.0,700.0,0.6558871
Polycrystalline,"Solid state reaction, Ar",140.0,700.0,0.100710366
Polycrystalline,"Solid state reaction, air",194.0,700.0,0.254977376
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.001689722
Polycrystalline,"Arc-melted, Ar",216.0,700.0,0.539
Polycrystalline,"Solid state reaction, Ar",220.0,1000.0,0.810073831
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,400.0,0.100068103
Polycrystalline,"Solid state reaction, vacuum",148.0,1000.0,0.119165632
Polycrystalline,"Solid state reaction, air",186.0,700.0,0.043166624
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.000702824
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.047719668
Polycrystalline,"Solid state reaction, air",12.0,700.0,0.10991039
Polycrystalline,Solid state reaction,204.0,700.0,0.594360115
Polycrystalline,Ultrasonic spray pyrolysis,62.0,400.0,0.03719487
Polycrystalline,Arc melting,223.0,700.0,0.627006479
Polycrystalline,"Solid state reaction, air",166.0,400.0,0.0047257
Polycrystalline,"Microwave solvothermal, air",186.0,300.0,0.001603781
Single crystal,Melted,166.0,400.0,0.458771734
Polycrystalline,Solid state reaction,206.0,700.0,0.108354634
Polycrystalline,"Arc-melted, Ar",216.0,400.0,0.127573719
Polycrystalline,Solid state reaction,225.0,400.0,0.009093419
Polycrystalline,Solid state reaction,62.0,300.0,0.00488322
Polycrystalline,Magnetic levitation induction furnace,216.0,300.0,0.020725389
Single crystal,"Czochralski method, argon",223.0,700.0,0.711999566
Polycrystalline,"Solid state reaction, air",2.0,1000.0,0.045042023
Polycrystalline,"Solid state reaction, Ar",167.0,400.0,0.524900307
Polycrystalline,Solid state reaction,206.0,300.0,0.00940658
Single crystal,"Flux (Sn), Ar",142.0,300.0,0.055801689
Polycrystalline,Solid state reaction (under oxygen),74.0,700.0,0.029357635
Polycrystalline,Solid state reaction,204.0,300.0,0.188435535
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.004149068
Polycrystalline,Ultrasonic spray pyrolysis,62.0,700.0,0.083293437
Polycrystalline,"Solid state reaction, sealed",160.0,400.0,0.224057186
Polycrystalline,Solid state reaction (under oxygen),62.0,700.0,0.105399534
Single crystal,Melted,166.0,300.0,0.0675
Polycrystalline,Solid state reaction,204.0,400.0,0.677502412
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.077021527
Polycrystalline,Solid state reaction,204.0,700.0,1.181566055
Polycrystalline,Solid state reaction,11.0,1000.0,0.158857
Polycrystalline,"Solid state reaction, air",12.0,300.0,0.019244142
Polycrystalline,Solid state reaction,62.0,1000.0,0.049893485
Polycrystalline,"Arc melted, Ar",216.0,300.0,0.075362975
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.139739901
Polycrystalline,"Arc-melted, Ar",64.0,400.0,0.009648228
Polycrystalline,"Solid state reaction, air",167.0,700.0,0.015587038
Polycrystalline,Solid state reaction,62.0,700.0,0.111359887
Polycrystalline,"Solid state reaction, air",167.0,300.0,0.001246546
Polycrystalline,Melted,225.0,300.0,0.075096639
Polycrystalline,"Arc-melted, Ar",64.0,400.0,0.018574785
Polycrystalline,Melted,225.0,300.0,0.111032448
Polycrystalline,"Melted, vacuum",204.0,700.0,0.852255776
Polycrystalline,"Melted, Ar",225.0,300.0,0.028903981
Polycrystalline,"Solid state reaction, air",221.0,400.0,0.011319708
Polycrystalline,Solid state reaction,62.0,700.0,0.080246985
Polycrystalline,"Solid state reaction, Ar",62.0,400.0,0.019004296
Polycrystalline,"Solid state reaction, air",12.0,400.0,0.041095002
Polycrystalline,"Melted, vacuum",225.0,300.0,0.250515464
Polycrystalline,"Solid state reaction, Ar",55.0,400.0,0.164306542
Polycrystalline,"Solid state reaction, air",221.0,300.0,0.041764969
Polycrystalline,Solid state reaction,206.0,400.0,0.023546412
Polycrystalline,Solid state reaction,11.0,700.0,0.094031
Polycrystalline,"Melted, Ar",225.0,400.0,0.063794428
Polycrystalline,"Solid state reaction, air",62.0,300.0,0.000528343
Polycrystalline,"Melted, vacuum",225.0,1000.0,1.517965927
Polycrystalline,"Solid state reaction, vacuum",148.0,300.0,0.022591533
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.218564595
Single crystal,"Flux (SrCl2), air",12.0,400.0,0.123544724
Polycrystalline,"Solid state reaction, Ar",221.0,1000.0,0.108941406
Polycrystalline,"Arc-melted, vacuum",216.0,400.0,0.146507724
Polycrystalline,"Solid-liquid-vapor reaction, vacuum",,700.0,0.377708802
Polycrystalline,Solid state reaction,206.0,1000.0,0.072577584
Polycrystalline,"Arc-melted, vacuum",216.0,700.0,0.508510843
Polycrystalline,"Solid state reaction, air",2.0,300.0,0.00128041
Polycrystalline,"Solid state reaction, vacuum",2.0,300.0,6.76443e-08
Polycrystalline,Solid state reaction,204.0,300.0,0.331609215
Polycrystalline,Spark plasma sintering,10.0,1000.0,0.104674177
Polycrystalline,"Solid state reaction, Ar",220.0,700.0,0.146638551
Polycrystalline,Vacuum hot pressed,227.0,1000.0,0.580112442
Polycrystalline,"Solid state reaction, He/H2",225.0,400.0,0.000506381
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.00049533
Polycrystalline,"Solid state reaction, Ar",55.0,700.0,0.059326794
Polycrystalline,"Solid state reaction, air",194.0,1000.0,0.344302289
Polycrystalline,"Solid state reaction, vacuum",148.0,700.0,0.256694711
Polycrystalline,"Solid state reaction, Ar",167.0,700.0,0.962807505
Polycrystalline,"Arc-melted, Ar",216.0,700.0,1.45
Polycrystalline,Solid state reaction,62.0,400.0,0.02340048
Polycrystalline,"Solid state reaction, vacuum",148.0,400.0,0.103404799
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.009388889
Polycrystalline,Melted,225.0,700.0,0.871875767
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.037370288
Single crystal,Melted,166.0,1000.0,0.948261434
Polycrystalline,"Solid state reaction, air",166.0,700.0,0.013673064
Polycrystalline,Arc melting,223.0,400.0,0.05098462
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.011778524
Polycrystalline,Sparks plasma sintering,225.0,1000.0,2.27156
Polycrystalline,Solid state reaction,206.0,700.0,0.116776249
Polycrystalline,Magnetic levitation induction furnace,216.0,1000.0,0.207738867
Polycrystalline,"Solid state reaction, Ar",220.0,300.0,0.03339378
Polycrystalline,"Flux (Al), dynamic vacuum",223.0,1000.0,0.217595686
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.000378505
Polycrystalline,"Mechanochemical, Ar",225.0,700.0,0.385970744
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.083623065
Polycrystalline,"Solid state reaction, air",2.0,400.0,0.003218108
Polycrystalline,"Arc-melted, Ar",64.0,700.0,0.060820992
Polycrystalline,"Ball milling, hot-pressed nanopowders",227.0,300.0,0.151567098
Polycrystalline,Melted,225.0,700.0,1.329723145
Polycrystalline,"Solid state reaction, air",186.0,400.0,0.016265504
Polycrystalline,"Microwave solvothermal, air",186.0,400.0,0.003703402
Polycrystalline,"Arc-melted, Ar",64.0,300.0,0.005183852
Polycrystalline,Solid state reaction,62.0,300.0,0.01972878
Polycrystalline,"Arc-melted, vacuum",216.0,1000.0,0.651557074
Polycrystalline,"Solid state reaction, air",221.0,1000.0,0.148325495
Polycrystalline,"Arc-melted, Ar",64.0,700.0,0.037881951
Polycrystalline,Sparks plasma sintering,225.0,700.0,1.596
Polycrystalline,Solid state reaction,223.0,300.0,0.239019646
Polycrystalline,"Arc-melted, vacuum",216.0,300.0,0.082668744
Polycrystalline,"Solid state reaction, air",221.0,700.0,0.073446995
Polycrystalline,Vacuum hot pressed,227.0,300.0,0.093418564
Polycrystalline,"Solid state reaction, sealed",160.0,700.0,0.974581824
Polycrystalline,"Solid state reaction, air",166.0,300.0,0.001171477
Polycrystalline,"Solid state reaction, He/H2",225.0,700.0,0.010666305
Single crystal,Floating zone melting,216.0,700.0,0.099979863
Polycrystalline,"Arc-melted, Ar",216.0,300.0,0.0256
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,"Solid state reaction, Ar",167.0,400.0,0.44564167
Polycrystalline,"Solid state reaction, He/H2",225.0,1000.0,0.925677614
Polycrystalline,"Solid state reaction, air",167.0,1000.0,0.038917217
Polycrystalline,"Solid state reaction, air",12.0,300.0,0.025256458
Polycrystalline,Solid state reaction,204.0,700.0,1.334133877
Polycrystalline,Melted,225.0,400.0,0.316428584
Polycrystalline,Solid state reaction,204.0,300.0,0.424000225
Polycrystalline,Solid state reaction (under oxygen),62.0,400.0,0.044149795
Polycrystalline,Solid state reaction,204.0,400.0,0.469668971
Polycrystalline,Solid state reaction,186.0,,0.0
Polycrystalline,Melting,225.0,700.0,1.56067
Polycrystalline,"Solid state reaction, air",62.0,300.0,0.000326866
Polycrystalline,Vacuum hot pressed,227.0,300.0,0.08445088
