composition,heusler type,num_electron,struct type,latt const,tetragonality,target
Co2FeSi,Full Heusler,30,L21,5.627999999999999,0.9992,5.48
Co2FeGe,Full Heusler,30,L21,5.74,1.0,5.6579
Co2FeSn,Full Heusler,30,L21,5.9935,1.0033,5.7037
Co2FeP,Full Heusler,31,D022,5.1947,1.2352,4.6553
Co2FeAs,Full Heusler,31,D022,5.38,1.2193,5.0427
Co2FeSb,Full Heusler,31,D022,5.63,1.1918,4.8951
Co2CoAl,Full Heusler,30,L21,5.68,1.0,4.0336
Co2CoGa,Full Heusler,30,L21,5.7,1.0,4.0989
Co2CoIn,Full Heusler,30,L21,5.97,1.0,4.3081
Co2CoSi,Full Heusler,31,D022,5.07,1.3156,2.8601
Co2CoGe,Full Heusler,31,L21,5.7,1.0,3.9626
Co2CoSn,Full Heusler,31,L21,5.9636,0.9940000000000001,3.9941
Co2CoP,Full Heusler,32,D022,4.95,1.3717,2.3689
Co2CoAs,Full Heusler,32,D022,5.09,1.3733,2.623
Co2CoSb,Full Heusler,32,D022,5.33,1.349,2.5396
Co2NiAl,Full Heusler,31,D022,5.042,1.4259,2.8742
Co2NiGa,Full Heusler,31,D022,5.0864,1.4034,2.9236
Co2NiIn,Full Heusler,31,D022,5.2768,1.4358,3.1205
Co2NiSi,Full Heusler,32,D022,5.1124,1.2842,1.966
Co2NiGe,Full Heusler,32,D022,5.1942,1.2979,2.106
Co2NiSn,Full Heusler,32,D022,5.3867,1.3281,2.266
Co2NiP,Full Heusler,33,D022,5.0729,1.274,1.3159999999999998
Co2NiAs,Full Heusler,33,D022,5.2064,1.2837,1.4897
Co2NiSb,Full Heusler,33,D022,5.4176,1.2808,1.2362
Rh2ScAl,Full Heusler,24,L21,6.24,1.0,0.0
Rh2ScGa,Full Heusler,24,L21,6.25,1.0,0.0
Rh2ScIn,Full Heusler,24,L21,6.454,0.9994,0.0
Rh2ScSi,Full Heusler,25,D022,5.91,1.1387,0.0
Rh2ScGe,Full Heusler,25,D022,5.96,1.1577,0.0
Rh2ScSn,Full Heusler,25,D022,6.1842,1.1374,0.0
Rh2ScP,Full Heusler,26,D022,5.63,1.3126,0.0
Rh2ScAs,Full Heusler,26,D022,5.75,1.3043,0.0
Rh2ScSb,Full Heusler,26,D022,6.02,1.2342,0.0
Rh2TiAl,Full Heusler,25,D022,5.8845,1.1227,0.0
Rh2TiGa,Full Heusler,25,D022,5.8319,1.1589,0.0
Rh2TiIn,Full Heusler,25,D022,6.03,1.1559,0.0
Rh2TiSi,Full Heusler,26,D022,5.6,1.2643,0.0
Rh2TiGe,Full Heusler,26,D022,5.6423,1.2830000000000001,0.0
Rh2TiSn,Full Heusler,26,D022,5.88,1.25,0.0022
Rh2TiP,Full Heusler,27,D022,5.4054,1.3963,0.0
Rh2TiAs,Full Heusler,27,D022,5.5119,1.3919,0.0
Rh2TiSb,Full Heusler,27,D022,5.7482,1.339,0.0
Rh2VAl,Full Heusler,26,D022,5.68,1.206,0.0
Rh2VGa,Full Heusler,26,D022,5.62,1.2509,0.3366
Rh2VIn,Full Heusler,26,D022,5.82,1.2457,0.6293
Rh2VSi,Full Heusler,27,D022,5.5053,1.2839,1.1145
Rh2VGe,Full Heusler,27,D022,5.56,1.2986,1.1332
Rh2VSn,Full Heusler,27,D022,5.78,1.2785,1.2745
Rh2VP,Full Heusler,28,D022,5.3213,1.4037,1.0604
Rh2VAs,Full Heusler,28,D022,5.46,1.3864,1.2197
Rh2VSb,Full Heusler,28,D022,5.69,1.3427,0.0
Rh2CrAl,Full Heusler,27,L21,6.0464,0.9982,3.014
Rh2CrGa,Full Heusler,27,L21,6.0572,1.003,3.0382
Rh2CrIn,Full Heusler,27,L21,6.29,1.0,3.1289999999999996
Rh2CrSi,Full Heusler,28,D022,5.5,1.2727,2.2108
Rh2CrGe,Full Heusler,28,D022,5.57,1.2801,2.256
Rh2CrSn,Full Heusler,28,D022,5.84,1.2397,2.7315
Rh2CrP,Full Heusler,29,D022,5.38,1.3513,1.989
Rh2CrAs,Full Heusler,29,D022,5.54,1.3249,2.5823
Rh2CrSb,Full Heusler,29,D022,5.69,1.3427,2.984
Rh2MnAl,Full Heusler,28,L21,6.04,1.0,4.0755
Rh2MnGa,Full Heusler,28,L21,6.06,1.0,4.1263
Rh2MnIn,Full Heusler,28,L21,6.2917,1.0003,4.3626
Rh2MnSi,Full Heusler,29,L21,5.99,1.0,4.6918
Rh2MnGe,Full Heusler,29,D022,5.9,1.0949,4.3881
Rh2MnSn,Full Heusler,29,L21,6.3,1.0,4.7673
Rh2MnP,Full Heusler,30,D022,5.59,1.2254,4.0753
Rh2MnAs,Full Heusler,30,D022,5.7278,1.2154,4.2482
Rh2MnSb,Full Heusler,30,L21,6.32,1.0,4.7785
Rh2FeAl,Full Heusler,29,L21,6.02,1.0,4.2859
Rh2FeGa,Full Heusler,29,L21,6.04,1.0,4.2503
Rh2FeIn,Full Heusler,29,L21,6.27,1.0,4.2259
Rh2FeSi,Full Heusler,30,D022,5.6362,1.1785,3.8427
Rh2FeGe,Full Heusler,30,L21,6.05,1.0,3.5169
Rh2FeSn,Full Heusler,30,D022,5.8812,1.2045,3.9303
Rh2FeP,Full Heusler,31,D022,5.48,1.2737,3.4132
Rh2FeAs,Full Heusler,31,D022,5.59,1.2844,3.6887
Rh2FeSb,Full Heusler,31,D022,5.74,1.284,3.3922
Rh2CoAl,Full Heusler,30,L21,5.98,1.0,3.0222
Rh2CoGa,Full Heusler,30,L21,6.0,1.0,2.9963
Rh2CoIn,Full Heusler,30,L21,6.23,1.0,2.9963
Rh2CoSi,Full Heusler,31,D022,5.54,1.2094,2.2321
Rh2CoGe,Full Heusler,31,D022,5.6027,1.2236,2.255
Rh2CoSn,Full Heusler,31,D022,5.6517,1.3041,2.1901
Rh2CoP,Full Heusler,32,D022,5.44,1.2647,2.0423
Rh2CoAs,Full Heusler,32,D022,5.55,1.2739,2.1318
Rh2CoSb,Full Heusler,32,D022,5.69,1.29,2.0536
Rh2NiAl,Full Heusler,31,L21,5.97,1.0,1.8182
Rh2NiGa,Full Heusler,31,L21,5.99,1.0,1.8169
Rh2NiIn,Full Heusler,31,D022,5.74,1.2683,1.4926
Rh2NiSi,Full Heusler,32,L21,5.89,1.0,1.0025
Rh2NiGe,Full Heusler,32,L21,5.98,1.0,1.0053
Rh2NiSn,Full Heusler,32,L21,6.21,1.0,1.0021
Rh2NiP,Full Heusler,33,D022,5.58,1.1667,0.5346
Rh2NiAs,Full Heusler,33,D022,5.68,1.1813,0.5882
Rh2NiSb,Full Heusler,33,D022,5.77,1.2322,0.387
Ni2ScAl,Full Heusler,26,L21,6.07,1.0,0.0
Ni2ScGa,Full Heusler,26,L21,6.06,1.0,0.0
Ni2ScIn,Full Heusler,26,L21,6.29,1.0,0.0
Ni2ScSi,Full Heusler,27,L21,5.9449,1.0004,0.0
Ni2ScGe,Full Heusler,27,L21,6.029,1.0038,0.0
Ni2ScSn,Full Heusler,27,L21,6.27,1.0,0.0
Ni2ScP,Full Heusler,28,D022,5.4217,1.3115,0.0
Ni2ScAs,Full Heusler,28,D022,5.64,1.2482,0.0
Ni2ScSb,Full Heusler,28,L21,6.2648,0.9992,0.0
Ni2TiAl,Full Heusler,27,L21,5.8913,1.0019,0.0
Ni2TiGa,Full Heusler,27,L21,5.8876,1.0019,0.0
Ni2TiIn,Full Heusler,27,L21,6.13,1.0,0.0
Ni2TiSi,Full Heusler,28,L21,5.79,1.0,0.0
Ni2TiGe,Full Heusler,28,D022,5.7,1.1018,0.0
Ni2TiSn,Full Heusler,28,L21,6.1136,1.0039,0.0
Ni2TiP,Full Heusler,29,D022,5.0499,1.5157,0.0
Ni2TiAs,Full Heusler,29,D022,5.2131,1.479,0.0
Ni2TiSb,Full Heusler,29,L21,6.13,1.0,0.0
Ni2VAl,Full Heusler,28,L21,5.8,1.0,0.0
Ni2VGa,Full Heusler,28,L21,5.8,1.0,0.0
Ni2VIn,Full Heusler,28,L21,6.0349,1.0016,0.0
Ni2VSi,Full Heusler,29,D022,5.3178,1.2359,0.2666
Ni2VGe,Full Heusler,29,D022,5.29,1.327,0.9729
Ni2VSn,Full Heusler,29,L21,6.05,1.0,0.8256
Ni2VP,Full Heusler,30,D022,4.91,1.5519,0.0001
Ni2VAs,Full Heusler,30,D022,5.0985,1.4979,1.1153
Ni2VSb,Full Heusler,30,D022,5.7,1.2088,1.7254
Ni2CrAl,Full Heusler,29,L21,5.8,1.0,3.2235
Ni2CrGa,Full Heusler,29,D022,5.35,1.2729,3.0618
Ni2CrIn,Full Heusler,29,L21,6.0576,1.0072,3.5757
Ni2CrSi,Full Heusler,30,D022,5.35,1.2093,2.785
Ni2CrGe,Full Heusler,30,D022,5.45,1.2109999999999999,2.988
Ni2CrSn,Full Heusler,30,L21,6.0582,1.0045,3.4658
Ni2CrP,Full Heusler,31,D022,5.01,1.4511,2.7689
Ni2CrAs,Full Heusler,31,D022,5.2,1.4135,3.0505
Ni2CrSb,Full Heusler,31,L21,6.07,1.0,3.4429
Ni2MnAl,Full Heusler,30,L21,5.7803,1.0073,4.0646
Ni2MnGa,Full Heusler,30,L21,5.8,1.0052,4.0599
Ni2MnIn,Full Heusler,30,L21,6.07,1.0,4.2086
Ni2MnSi,Full Heusler,31,L21,5.7,1.0,3.8367
Ni2MnGe,Full Heusler,31,L21,5.81,1.0,3.9532
Ni2MnSn,Full Heusler,31,L21,6.065,0.9986,4.079
Ni2MnP,Full Heusler,32,D022,5.05,1.4238,4.0858
Ni2MnAs,Full Heusler,32,D022,5.26,1.3726,4.1546
Ni2MnSb,Full Heusler,32,D022,5.9494,1.0604,3.9848
Ni2FeAl,Full Heusler,31,D022,5.21,1.3301,3.1879
Ni2FeGa,Full Heusler,31,D022,5.2,1.35,3.2602
Ni2FeIn,Full Heusler,31,L21,6.02,1.0,3.352
Ni2FeSi,Full Heusler,32,D022,5.1,1.351,3.0329
Ni2FeGe,Full Heusler,32,D022,5.86,0.9539,3.2627
Ni2FeSn,Full Heusler,32,L21,6.027,0.9943,3.2552
Ni2FeP,Full Heusler,33,D022,4.94,1.4717,3.3896
Ni2FeAs,Full Heusler,33,D022,5.12,1.4434,3.5703
Ni2FeSb,Full Heusler,33,L21,6.02,1.0,3.3321
Ni2CoAl,Full Heusler,32,D022,5.11,1.3757,1.9357
Ni2CoGa,Full Heusler,32,D022,5.12,1.3828,2.0227
Ni2CoIn,Full Heusler,32,D022,5.39,1.3525,2.0404
Ni2CoSi,Full Heusler,33,D022,5.01,1.3852,1.4696
Ni2CoGe,Full Heusler,33,D022,5.11,1.3836,1.5935
Ni2CoSn,Full Heusler,33,D022,5.4,1.3333,1.4903
Ni2CoP,Full Heusler,34,D022,4.92,1.4533,2.1333
Ni2CoAs,Full Heusler,34,D022,5.06,1.4506,2.2149
Ni2CoSb,Full Heusler,34,D022,5.33,1.379,1.482
Ni2NiAl,Full Heusler,33,D022,5.2039,1.2978,0.0001
Ni2NiGa,Full Heusler,33,D022,5.22,1.2989,0.0002
Ni2NiIn,Full Heusler,33,D022,5.44,1.307,0.0001
Ni2NiSi,Full Heusler,34,D022,5.07,1.3333,0.0
Ni2NiGe,Full Heusler,34,D022,5.17,1.3327,0.0
Ni2NiSn,Full Heusler,34,D022,5.4,1.3296,0.0
Ni2NiP,Full Heusler,35,D022,4.97,1.3984,0.0
Ni2NiAs,Full Heusler,35,D022,5.1,1.4098,0.0
Ni2NiSb,Full Heusler,35,D022,5.36,1.3563,0.0
CrTiGa,Half Heusler,13,C1b,6.03,1.0,4.9901
CrTiIn,Half Heusler,13,C1b,6.32,1.0,5.0
CrTiSi,Half Heusler,14,C1b,5.85,1.0,4.0
CrTiGe,Half Heusler,14,C1b,5.95,1.0,4.0
CrTiSn,Half Heusler,14,C1b,6.25,1.0016,4.0
CrTiP,Half Heusler,15,tetragonal,5.24,1.2729,2.5301
CrTiAs,Half Heusler,15,tetragonal,5.52,1.2065,3.0
CrTiSb,Half Heusler,15,C1b,6.18,0.9984,3.0
CrVAl,Half Heusler,14,C1b,5.83,1.0,0.0511
CrVGa,Half Heusler,14,C1b,5.82,1.0,0.0306
CrVIn,Half Heusler,14,C1b,6.17,1.0,0.022000000000000002
CrVSi,Half Heusler,15,C1b,5.6,1.0,0.5936
CrVGe,Half Heusler,15,C1b,5.75,1.0,0.2213
CrVSn,Half Heusler,15,C1b,6.11,1.0,0.2123
CrVP,Half Heusler,16,C1b,5.5,1.0,0.0
CrVAs,Half Heusler,16,C1b,5.65,1.0035,0.0001
CrVSb,Half Heusler,16,C1b,6.0579,1.0037,0.9107
CrCrAl,Half Heusler,15,C1b,5.82,1.0,0.5127
CrCrGa,Half Heusler,15,C1b,5.8,1.0,0.4375
CrCrIn,Half Heusler,15,C1b,6.2,1.0,0.3186
CrCrSi,Half Heusler,16,C1b,5.5,1.0,0.0
CrCrGe,Half Heusler,16,C1b,5.74,1.0017,0.366
CrCrSn,Half Heusler,16,C1b,6.14,1.0016,0.2591
CrCrP,Half Heusler,17,C1b,5.4,1.0019,0.5387
CrCrAs,Half Heusler,17,C1b,5.6346,0.9976,0.7717
CrCrSb,Half Heusler,17,C1b,6.09,0.9951,0.2184
CrMnAl,Half Heusler,16,C1b,5.8,1.0,0.4724
CrMnGa,Half Heusler,16,C1b,5.79,1.0,0.5086
CrMnIn,Half Heusler,16,C1b,6.21,1.0,0.1864
CrMnSi,Half Heusler,17,C1b,5.476,0.9947,0.04
CrMnGe,Half Heusler,17,C1b,5.7,1.0035,0.0804
CrMnSn,Half Heusler,17,C1b,6.13,1.0033,0.054000000000000006
CrMnP,Half Heusler,18,C1b,5.42,1.0018,0.0016
CrMnAs,Half Heusler,18,C1b,5.71,1.0,0.0
CrMnSb,Half Heusler,18,C1b,6.1,1.0,0.1937
CrFeAl,Half Heusler,17,C1b,5.65,1.0,0.6405
CrFeGa,Half Heusler,17,C1b,5.67,1.0,0.6888
CrFeIn,Half Heusler,17,C1b,6.07,1.0,0.9971
CrFeSi,Half Heusler,18,C1b,5.45,1.0037,0.0504
CrFeGe,Half Heusler,18,C1b,5.65,1.0,0.0
CrFeSn,Half Heusler,18,C1b,6.01,1.0,0.0
CrFeP,Half Heusler,19,C1b,5.42,1.0,0.8564
CrFeAs,Half Heusler,19,C1b,5.6242,1.0011,0.7974
CrFeSb,Half Heusler,19,C1b,5.9685,1.0029,0.5241
CrNiAl,Half Heusler,19,C1b,5.73,1.0,3.0007
CrNiGa,Half Heusler,19,tetragonal,5.11,1.4227,3.1048
CrNiIn,Half Heusler,19,C1b,6.07,1.0,3.6663
CrNiSi,Half Heusler,20,C1b,5.52,1.0,1.7846
CrNiGe,Half Heusler,20,C1b,5.67,0.9982,2.3915
CrNiSn,Half Heusler,20,C1b,6.0,1.0,3.0109
CrNiP,Half Heusler,21,C1b,5.45,1.0037,1.9501
CrNiAs,Half Heusler,21,C1b,5.64,0.9982,2.0371
CrNiSb,Half Heusler,21,C1b,5.95,1.005,2.4288
MnTiAl,Half Heusler,14,C1b,5.8,1.0,0.1073
MnTiGa,Half Heusler,14,C1b,5.82,0.9966,0.2477
MnTiIn,Half Heusler,14,C1b,6.1467,1.0058,0.5819
MnTiSi,Half Heusler,15,C1b,5.64,1.0,0.0007
MnTiGe,Half Heusler,15,C1b,5.77,1.0017,0.3994
MnTiSn,Half Heusler,15,C1b,6.13,1.0,2.8847
MnTiP,Half Heusler,16,C1b,5.56,1.0,1.8155
MnTiAs,Half Heusler,16,C1b,5.7415,1.0049,1.9946
MnTiSb,Half Heusler,16,C1b,6.09,0.9984,1.7332
MnVAl,Half Heusler,15,C1b,5.7,1.0,0.3961
MnVGa,Half Heusler,15,C1b,5.74,1.0,0.0724
MnVIn,Half Heusler,15,C1b,6.11,1.0,0.2734
MnVSi,Half Heusler,16,C1b,5.5,1.0,0.0
MnVGe,Half Heusler,16,C1b,5.68,1.0018,0.7845
MnVSn,Half Heusler,16,C1b,6.04,1.0,1.0984
MnVP,Half Heusler,17,C1b,5.4033,1.0039,0.8574
MnVAs,Half Heusler,17,C1b,5.5948,1.0018,1.0
MnVSb,Half Heusler,17,C1b,5.9233,1.0025,1.0
MnCrAl,Half Heusler,16,C1b,5.7,1.0,0.6879
MnCrGa,Half Heusler,16,C1b,5.74,1.0,0.6003
MnCrIn,Half Heusler,16,C1b,6.15,1.0,0.3067
MnCrSi,Half Heusler,17,C1b,5.42,1.0,0.7368
MnCrGe,Half Heusler,17,C1b,5.571000000000001,1.0043,1.0
MnCrSn,Half Heusler,17,C1b,6.06,0.9967,0.3062
MnCrP,Half Heusler,18,C1b,5.3,0.9981,0.0
MnCrAs,Half Heusler,18,C1b,5.5142,1.0037,0.0
MnCrSb,Half Heusler,18,C1b,5.9519,1.0028,0.013999999999999999
MnMnAl,Half Heusler,17,C1b,5.6,1.0,0.6878
MnMnGa,Half Heusler,17,C1b,5.71,0.9982,0.4457
MnMnIn,Half Heusler,17,C1b,6.12,1.0,0.0511
MnMnSi,Half Heusler,18,C1b,5.3671,1.0081,0.0067
MnMnGe,Half Heusler,18,C1b,5.5844,0.9997,0.0
MnMnSn,Half Heusler,18,C1b,6.05,0.9967,0.1741
MnMnP,Half Heusler,19,C1b,5.33,1.0019,1.0
MnMnAs,Half Heusler,19,C1b,5.627000000000001,1.0017,1.0
MnMnSb,Half Heusler,19,C1b,6.01,0.9983,1.0
MnFeAl,Half Heusler,18,C1b,5.52,1.0,0.0013
MnFeGa,Half Heusler,18,C1b,5.5636,1.0033,0.0067
MnFeIn,Half Heusler,18,C1b,5.96,1.0034,0.0001
MnFeSi,Half Heusler,19,C1b,5.33,1.0019,0.0007
MnFeGe,Half Heusler,19,C1b,5.57,1.0,0.9789
MnFeSn,Half Heusler,19,C1b,5.92,1.0,0.9666
MnFeP,Half Heusler,20,C1b,5.32,1.0,1.9591
MnFeAs,Half Heusler,20,C1b,5.51,0.9982,1.9986
MnFeSb,Half Heusler,20,C1b,5.84,1.0,3.4443
MnNiAl,Half Heusler,20,C1b,5.65,1.0,3.0218
MnNiGa,Half Heusler,20,C1b,5.66,1.0,3.2206
MnNiIn,Half Heusler,20,C1b,6.0,1.0,3.7194
MnNiSi,Half Heusler,21,C1b,5.48,0.9982,2.6009
MnNiGe,Half Heusler,21,C1b,5.62,0.9947,2.7411
MnNiSn,Half Heusler,21,C1b,5.96,0.9983,3.3945
MnNiP,Half Heusler,22,C1b,5.36,1.0037,1.7592
MnNiAs,Half Heusler,22,C1b,5.6,1.0,2.8991
MnNiSb,Half Heusler,22,C1b,5.9,0.9966,3.1341
FeTiAl,Half Heusler,15,C1b,5.74,1.0,0.373
FeTiGa,Half Heusler,15,C1b,5.72,1.0,0.0065
FeTiIn,Half Heusler,15,C1b,6.08,1.0,0.4602
FeTiSi,Half Heusler,16,C1b,5.6,1.0,1.0161
FeTiGe,Half Heusler,16,C1b,5.71,1.0,1.4445
FeTiSn,Half Heusler,16,C1b,6.0149,1.0026,1.5985
FeTiP,Half Heusler,17,C1b,5.4527,1.0044,0.8837
FeTiAs,Half Heusler,17,C1b,5.6547,1.0008,0.9896
FeTiSb,Half Heusler,17,C1b,5.9534,1.0004,0.955
FeVAl,Half Heusler,16,C1b,5.6,1.0,0.8768
FeVGa,Half Heusler,16,C1b,5.61,1.0,0.6117
FeVIn,Half Heusler,16,C1b,5.97,1.0,0.075
FeVSi,Half Heusler,17,C1b,5.44,1.0,0.745
FeVGe,Half Heusler,17,C1b,5.5578,1.0023,1.0
FeVSn,Half Heusler,17,C1b,5.8667,1.0026,0.9593
FeVP,Half Heusler,18,C1b,5.3138,1.0038,0.0
FeVAs,Half Heusler,18,C1b,5.4855,1.0025,0.0
FeVSb,Half Heusler,18,C1b,5.7758,1.0021,0.0
FeCrAl,Half Heusler,17,C1b,5.48,1.0,0.6708
FeCrGa,Half Heusler,17,C1b,5.49,1.0,0.8115
FeCrIn,Half Heusler,17,C1b,5.99,1.0,0.9999
FeCrSi,Half Heusler,18,C1b,5.3284,1.0043,0.0
FeCrGe,Half Heusler,18,C1b,5.4448,1.0025,0.0
FeCrSn,Half Heusler,18,C1b,5.8445,1.0,0.0
FeCrP,Half Heusler,19,C1b,5.2921,0.9978,0.9732
FeCrAs,Half Heusler,19,C1b,5.4814,0.9961,1.0
FeCrSb,Half Heusler,19,C1b,5.81,1.0,1.0001
FeMnAl,Half Heusler,18,C1b,5.42,1.0018,0.0001
FeMnGa,Half Heusler,18,C1b,5.49,1.0,0.0115
FeMnIn,Half Heusler,18,C1b,5.9505,1.0003,0.5455
FeMnSi,Half Heusler,19,C1b,5.3211,1.0008,0.9718
FeMnGe,Half Heusler,19,C1b,5.4714,0.9954,1.0
FeMnSn,Half Heusler,19,C1b,5.92,1.0,1.0
FeMnP,Half Heusler,20,C1b,5.32,0.9981,2.0
FeMnAs,Half Heusler,20,C1b,5.51,1.0,2.0
FeMnSb,Half Heusler,20,C1b,5.84,1.0,2.0
FeFeAl,Half Heusler,19,C1b,5.5,1.0,2.9999
FeFeGa,Half Heusler,19,C1b,5.54,0.9982,3.1997
FeFeIn,Half Heusler,19,C1b,5.91,1.0017,4.5674
FeFeSi,Half Heusler,20,C1b,5.3404,1.0031,1.9993
FeFeGe,Half Heusler,20,C1b,5.48,1.0,2.0647
FeFeSn,Half Heusler,20,C1b,5.85,1.0,4.0232
FeFeP,Half Heusler,21,C1b,5.31,1.0,2.9346
FeFeAs,Half Heusler,21,C1b,5.49,1.0,2.9989999999999997
FeFeSb,Half Heusler,21,C1b,5.78,1.0,3.0
FeNiAl,Half Heusler,21,C1b,5.56,1.0018,2.7029
FeNiGa,Half Heusler,21,C1b,5.58,1.0,2.7949
FeNiIn,Half Heusler,21,C1b,5.89,0.9983,2.9071
FeNiSi,Half Heusler,22,C1b,5.4,1.0037,1.9655
FeNiGe,Half Heusler,22,C1b,5.56,1.0,2.4891
FeNiSn,Half Heusler,22,C1b,5.87,0.9983,2.7495
FeNiP,Half Heusler,23,C1b,5.29,1.0,0.1164
FeNiAs,Half Heusler,23,C1b,5.52,1.0,2.2393
FeNiSb,Half Heusler,23,C1b,5.83,1.0034,2.5198
RuTiAl,Half Heusler,15,C1b,5.94,1.0,0.2434
RuTiGa,Half Heusler,15,C1b,5.94,1.0,0.0087
RuTiIn,Half Heusler,15,C1b,6.19,1.0,0.0144
RuTiSi,Half Heusler,16,C1b,5.82,1.0017,0.0004
RuTiGe,Half Heusler,16,C1b,5.92,1.0,0.0257
RuTiSn,Half Heusler,16,C1b,6.2044,0.9992,0.0002
RuTiP,Half Heusler,17,C1b,5.7261,1.0011,0.0
RuTiAs,Half Heusler,17,C1b,5.89,1.0,0.0
RuTiSb,Half Heusler,17,C1b,6.1404,1.0035,0.0003
RuVAl,Half Heusler,16,C1b,5.8262,1.0009,1.6167
RuVGa,Half Heusler,16,C1b,5.8303,1.0024,1.5522
RuVIn,Half Heusler,16,C1b,6.11,1.0,1.7241
RuVSi,Half Heusler,17,C1b,5.7,1.0,0.6134
RuVGe,Half Heusler,17,C1b,5.8,1.0017,0.6805
RuVSn,Half Heusler,17,C1b,5.83,1.0,0.9420000000000001
RuVP,Half Heusler,18,C1b,5.6167,1.0022,0.0
RuVAs,Half Heusler,18,C1b,5.7621,1.0043,0.0
RuVSb,Half Heusler,18,C1b,6.018,1.004,0.0
RuCrAl,Half Heusler,17,C1b,5.73,1.0,0.6995
RuCrGa,Half Heusler,17,C1b,5.74,1.0,0.6785
RuCrIn,Half Heusler,17,C1b,6.15,1.0,2.6998
RuCrSi,Half Heusler,18,C1b,5.6119,1.0039,0.0
RuCrGe,Half Heusler,18,C1b,5.7074,1.0067,0.0
RuCrSn,Half Heusler,18,C1b,5.99,0.9983,0.0
RuCrP,Half Heusler,19,C1b,5.5796,0.9964,0.9958
RuCrAs,Half Heusler,19,C1b,5.7409,0.9978,1.0
RuCrSb,Half Heusler,19,C1b,6.01,0.9983,1.0
RuMnAl,Half Heusler,18,C1b,5.67,1.0018,0.0004
RuMnGa,Half Heusler,18,C1b,5.69,1.0,0.1057
RuMnIn,Half Heusler,18,C1b,6.15,1.0,4.0
RuMnSi,Half Heusler,19,C1b,5.6,1.0036,0.9897
RuMnGe,Half Heusler,19,C1b,5.72,1.0,1.0109
RuMnSn,Half Heusler,19,C1b,6.13,1.0,3.8907
RuMnP,Half Heusler,20,C1b,5.5888,1.0034,2.0
RuMnAs,Half Heusler,20,C1b,5.7574,1.0006,2.0
RuMnSb,Half Heusler,20,C1b,6.0633,1.0044,3.0196
RuFeAl,Half Heusler,19,C1b,5.7885,0.9993,3.0007
RuFeGa,Half Heusler,19,C1b,5.66,1.0018,2.9927
RuFeIn,Half Heusler,19,C1b,6.08,1.0,3.4353
RuFeSi,Half Heusler,20,C1b,5.64,1.0,2.1657
RuFeGe,Half Heusler,20,C1b,5.747999999999999,1.0023,2.3091
RuFeSn,Half Heusler,20,C1b,6.0255,1.0001,2.8276
RuFeP,Half Heusler,21,C1b,5.59,1.0,2.6572
RuFeAs,Half Heusler,21,C1b,5.76,1.0,2.8648
RuFeSb,Half Heusler,21,C1b,6.03,1.0,3.0002
RuNiAl,Half Heusler,21,C1b,5.74,1.0,1.4444
RuNiGa,Half Heusler,21,C1b,5.75,1.0,1.1107
RuNiIn,Half Heusler,21,C1b,6.04,1.0,1.6147
RuNiSi,Half Heusler,22,C1b,5.6132,1.0,0.8029999999999999
RuNiGe,Half Heusler,22,C1b,5.7229,1.0024,0.7273
RuNiSn,Half Heusler,22,C1b,5.9913,1.0012,0.7544
RuNiP,Half Heusler,23,C1b,5.56,0.9982,0.0
RuNiAs,Half Heusler,23,C1b,5.72,0.9983,0.0
RuNiSb,Half Heusler,23,C1b,5.99,0.9967,0.0
CoTiAl,Half Heusler,16,C1b,5.7,1.0,1.048
CoTiGa,Half Heusler,16,C1b,5.71,1.0,1.0926
CoTiIn,Half Heusler,16,C1b,5.99,1.0,1.33
CoTiSi,Half Heusler,17,C1b,5.577000000000001,0.9953,0.9998
CoTiGe,Half Heusler,17,C1b,5.6437,1.0052,0.9734
CoTiSn,Half Heusler,17,C1b,5.9309,1.0038,0.9647
CoTiP,Half Heusler,18,C1b,5.4288,1.0039,0.0
CoTiAs,Half Heusler,18,C1b,5.61,1.0,0.0
CoTiSb,Half Heusler,18,C1b,5.8771,1.0017,0.0
CoVAl,Half Heusler,17,C1b,5.56,1.0,0.6878
CoVGa,Half Heusler,17,C1b,5.56,1.0,0.8593
CoVIn,Half Heusler,17,C1b,5.86,1.0,0.9670000000000001
CoVSi,Half Heusler,18,C1b,5.41,1.0,0.0
CoVGe,Half Heusler,18,C1b,5.4982,1.0036,0.0
CoVSn,Half Heusler,18,C1b,5.79,1.0,0.0
CoVP,Half Heusler,19,C1b,5.3587,0.998,0.9949
CoVAs,Half Heusler,19,C1b,5.5264,0.9988,1.0
CoVSb,Half Heusler,19,C1b,5.8092,1.0017,1.0
CoCrAl,Half Heusler,18,C1b,5.45,1.0042,0.0
CoCrGa,Half Heusler,18,C1b,5.4451,1.0055,0.0
CoCrIn,Half Heusler,18,C1b,5.7643,1.0036,0.0
CoCrSi,Half Heusler,19,C1b,5.3575,1.0026,1.0
CoCrGe,Half Heusler,19,C1b,5.4726,1.003,1.0
CoCrSn,Half Heusler,19,C1b,5.78,1.0017,1.0
CoCrP,Half Heusler,20,C1b,5.3249,1.0041,2.0
CoCrAs,Half Heusler,20,C1b,5.5192,1.0001,2.0
CoCrSb,Half Heusler,20,C1b,5.8075,1.0004,2.0
CoMnAl,Half Heusler,19,C1b,5.45,1.0018,1.0396
CoMnGa,Half Heusler,19,C1b,5.46,1.0,1.0028
CoMnIn,Half Heusler,19,C1b,5.93,1.0,4.3243
