composition,target
MnGeRu2,-0.3078
MnSnRu2,-0.2114
Ru2TiAl,-0.6498
TiSiRu2,-0.9836
TiGeRu2,-0.8198
TiSnRu2,-0.6281
Ru2VAl,-0.3203
VSiRu2,-0.5794
VGeRu2,-0.3327
VSnRu2,-0.2187
Ru2ZrAl,-0.6685
Sc5Pb3,-0.6353
PbTi4,-0.172
Y5Pb3,-0.6716
Zr5Pb3,-0.5244
Nb3Pb,-0.1078
RhPb,-0.171
Pd3Pb,-0.3068
PtPb,-0.3596
CuSnRh2,-0.3016
Rh2FeAl,-0.5027
Rh2FeGa,-0.3223
FeSnRh2,-0.2995
Rh2MnAl,-0.7504
Rh2MnGa,-0.5731
Rh2MnIn,-0.3659
MnGeRh2,-0.57
MnSnRh2,-0.4156
Rh2TiAl,-1.0116
Rh2TiGa,-0.8188
Rh2TiSn,-0.7742
VSnRh2,-0.4643
VGaNi2,-0.2228
VNi2Sn,-0.2508
VFe2Sn,-0.0383
Fe2VAl,-0.2487
Fe2NiAl,-0.3203
Fe2CuAl,-0.2425
Fe2MnAl,-0.0943
Mn2RuSi,-0.3835
Mn2SnRu,-0.1803
Mn0.2Ni0.55Sn0.25,-0.2757
Mn0.30Ni0.45Sn0.25,-0.285
Mn0.35Ni0.4Sn0.25,-0.2757
Mn3Ni5Sn2,-0.2176
Mn0.35Ni0.5Sn0.15,-0.2083
TiGaNi2,-0.4405
TiInNi2,-0.2954
TiNi2Sn,-0.485
MnAlIr2,-0.6716
MnGaIr2,-0.2218
InMnPt2,-0.484
CuInRh2,-0.2322
MnSnAu,-0.5016
TiCoSn,-0.4415
MnGaIr,-0.4239
MnSnIr,-0.3047
ZrSnIr,-0.9235
HfNiSn,-0.6488
TiNiSn,-0.5452
ZrNiSn,-0.7214
HfSnPd,-0.7089
PdSnZr,-0.8975
HfSnPt,-1.024
MnGaPt,-0.6084
MnSnPt,-0.5783
TiSnPt,-0.9701
ZrSnPt,-1.0872
Co0.25Ni1.75MnSn,-0.1969
Co0.125Mn0.25Ni0.375Sn0.25,-0.1855
Co0.75Ni1.25MnSn,-0.2259
CoNiMnSn,-0.2094
Co1.25Ni0.25MnSn,-0.2197
Co0.375Mn0.25Ni0.125Sn0.25,-0.2384
Co1.75Ni0.25MnSn,-0.2581
Ni2Mn0.25Ti0.75Sn,-0.4353
Ni2Mn0.5Ti0.5Sn,-0.3451
Ni2Mn0.75Ti0.25Sn,-0.3451
Ni0.25Pd1.75MnSn,-0.5369
Mn0.25Ni0.125Pd0.375Sn0.25,-0.4871
Mn0.25Ni0.1875Pd0.3125Sn0.25,-0.4394
NiPdMnSn,-0.3887
Mn0.25Ni0.3125Pd0.1875Sn0.25,-0.3192
Mn0.25Ni0.375Pd0.125Sn0.25,-0.2985
Mn0.25Ni0.4375Pd0.0625Sn0.25,-0.2985
In0.05Mn0.25Ni0.5Sn0.2,-0.2353
In0.1Mn0.25Ni0.5Sn0.15,-0.2643
In0.15Mn0.25Ni0.5Sn0.1,-0.2104
In0.2Mn0.25Ni0.5Sn0.05,-0.2674
Al0.05Mn0.25Ni0.5Sn0.2,-0.2684
Al0.1Mn0.25Ni0.5Sn0.15,-0.2954
Al0.15Mn0.25Ni0.5Sn0.1,-0.3337
Al0.2Mn0.25Ni0.5Sn0.05,-0.3296
Ni2Mn0.2V0.8Sn,-0.284
Ni2Mn0.4V0.6Sn,-0.2964
Mn0.15Ni0.5Sn0.25V0.1,-0.3285
Mn0.2Ni0.5Sn0.25V0.05,-0.2415
Fe0.25Ni1.75MnSn,-0.2612
Fe0.125Mn0.25Ni0.375Sn0.25,-0.2757
Fe0.75Ni1.25MnSn,-0.1814
FeNiMnSn,-0.1057
Cu0.25Ni1.75MnSn,-0.2384
Cu0.125Mn0.25Ni0.375Sn0.25,-0.2881
Fe0.1875Mn0.25Ni0.3125Sn0.25,-0.2747
CuNiMnSn,-0.2633
Cu0.3125Mn0.25Ni0.1875Sn0.25,-0.2881
Cu0.375Mn0.25Ni0.125Sn0.25,-0.2747
Cu1.75Ni0.25MnSn,-0.2757
Ge0.05Mn0.25Ni0.5Sn0.2,-0.2218
Ge0.1Mn0.25Ni0.5Sn0.15,-0.2829
Ge0.15Mn0.25Ni0.5Sn0.1,-0.2498
Ge0.2Mn0.25Ni0.5Sn0.05,-0.3389
Ni2MnSi0.2Sn0.8,-0.2446
Ga0.05Mn0.25Ni0.5Sn0.2,-0.2477
Ga0.1Mn0.25Ni0.5Sn0.15,-0.2995
Ga0.15Mn0.25Ni0.5Sn0.1,-0.3078
Ga0.2Mn0.25Ni0.5Sn0.05,-0.2892
Ce5Pb3,-0.7835
Pr5Pb3,-0.8001
Nd5Pb3,-0.7773
Sm5Pb3,-0.7929
Gd5Pb3,-0.7979999999999999
Tb5Pb3,-0.7379
Dy5Pb3,-0.7887
Ho5Pb3,-0.7452
Er5Pb3,-0.7794
Tm5Pb3,-0.7939
Lu5Pb3,-0.7752
Li17Sn4,-0.4156
AgCa3,-0.1223
Cu2NiSn,-0.1461
Cu0.6Ni0.15Sn0.25,-0.1213
Cu0.4Ni0.35Sn0.25,-0.1679
Cu0.3Ni0.45Sn0.25,-0.1897
Cu0.12Ni0.63Sn0.25,-0.2239
Cu0.05Ni0.7Sn0.25,-0.2415
Cu0.3Ni0.29Sn0.41,-0.22899999999999998
Cu0.2Ni0.39Sn0.41,-0.2705
Cu0.1Ni0.49Sn0.41,-0.2995
Cu0.275Ni0.27Sn0.455,-0.1886
Cu0.375Ni0.17Sn0.455,-0.1679
FeGe,-0.1613
FeGe2,-0.3823
AlLi,-0.2145
Al2Li3,-0.198
Al4Li9,-0.1565
SmMg,-0.1917
SmMg2,-0.1658
SmMg3,-0.1244
Mg5Sm,-0.0881
Mg41Sm5,-0.057
AlNd3,-0.3131
NbCr2,-0.0301
NbFe2,-0.141
